Name	geneid	logFC.mesen	logCPM.mesen	LR.mesen	PValue.mesen	FDR.mesen	logFC.diff	logCPM.diff	LR.diff	PValue.diff	FDR.diff	Row.names.y	logFC.immuno	logCPM.immuno	LR.immuno	PValue.immuno	FDR.immuno	logFC.prolif	logCPM.prolif	LR.prolif	PValue.prolif	FDR.prolif
A1BG	1	-0.077320895	2.582710025	0.265542288	0.606337841	0.703877537	-0.242890159	2.582710025	2.490777926	0.114515109	0.218673791	A1BG|1	0.393129905	2.582710025	7.677011416	0.005592872	0.017527558	-0.072918851	2.582710025	0.253631704	0.614529413	0.685202772
AADAT	51166	0.070121562	2.226698793	0.250469112	0.616744955	0.712909639	-0.586270386	2.226698793	15.59364187	7.85E-05	0.000621998	AADAT|51166	-0.438413298	2.226698793	9.805469549	0.001739936	0.006603769	0.954562122	2.226698793	53.95974761	2.05E-13	2.86E-12
ACADVL	37	-0.081684942	7.32033763	0.928061773	0.335367079	0.449322178	0.00249068	7.32033763	0.000846768	0.976785415	0.986010149	ACADVL|37	0.128570531	7.32033763	2.503935757	0.113562178	0.199550404	-0.049376269	7.32033763	0.365286355	0.545584887	0.622975027
ATP6V1G2	534	-0.314748726	1.266186737	3.301836234	0.069202484	0.131162246	-0.357141995	1.266186737	4.100940554	0.042859364	0.103917222	ATP6V1G2|534	0.204184113	1.266186737	1.571980267	0.209919664	0.322447272	0.467706607	1.266186737	8.534352104	0.003485054	0.007837764
POU2F3	25833	0.221858061	4.888728781	1.239245261	0.26561656	0.374542001	0.288698853	4.888728781	2.05699059	0.151509135	0.26909013	POU2F3|25833	0.868072968	4.888728781	21.37327834	3.78E-06	3.38E-05	-1.378629883	4.888728781	42.32029596	7.75E-11	7.47E-10
POU5F1	5460	-0.727618829	1.758339898	11.13933042	0.000845164	0.003591238	0.322238215	1.758339898	2.420652256	0.119745062	0.225944168	POU5F1|5460	0.663989826	1.758339898	11.56842358	0.000670813	0.002956941	-0.258609212	1.758339898	1.607983873	0.204775439	0.276303351
POU5F1B	5462	-0.421291192	0.467550486	6.815279599	0.009038115	0.024947887	-0.142569674	0.467550486	0.783302328	0.37613307	0.523010627	POU5F1B|5462	0.312087776	0.467550486	4.341010415	0.037204838	0.082213828	0.25177309	0.467550486	2.829615251	0.092540527	0.14036559
POU6F1	5463	0.082304656	2.816773582	0.625238935	0.429107101	0.542743595	-0.289833294	2.816773582	7.181229206	0.007367022	0.025556929	POU6F1|5463	-0.041869722	2.816773582	0.169577912	0.680487203	0.773949259	0.249398359	2.816773582	6.259045323	0.012356077	0.0240236
POU6F2	11281	-0.269211034	0.472477382	0.502561744	0.478376671	0.587903209	-0.929613277	0.472477382	5.33299545	0.020925391	0.058947603	POU6F2|11281	-0.199072013	0.472477382	0.295164534	0.586929825	0.697257048	1.397896324	0.472477382	16.96574563	3.81E-05	0.000132945
PPA1	5464	-0.251474444	7.701347376	6.34934863	0.01174244	0.030913437	0.30120639	7.701347376	9.465266265	0.00209399	0.009103681	PPA1|5464	0.407024436	7.701347376	19.02881073	1.29E-05	9.95E-05	-0.456756382	7.701347376	22.00031824	2.73E-06	1.21E-05
