ORF	GPL51-01 (GSM854) heat shock 05 min	GPL51-02 (GSM855) heat shock 10 min	GPL51-03 (GSM856) heat shock 15 min	GPL51-05 (GSM864) heat shock 20 min repeat	GPL51-06 (GSM865) heat shock 40 min	GPL51-07 (GSM868) heat shock 60 min	GPL51-08 (GSM872) heat shock 80 min
TFC3	1.7	0	0	0	0	0	0
EFB1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSA1	3.049	3.796	0	0	0	0	0
FUN14	0.0	0.0	0.0	0.0	0.0	0	0
MDM10	0.0	0.0	0.0	0	0.0	0	0.0
CYS3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR062W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR068W	0.0	0.0	1.547	1.261	1.316	0.0	0.0
YAR070C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR073W	0.0	0.0	-1.092	-1.575	-1.108	0.0	0.0
ECM15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTA2	0.0	0.0	0.0	-1.381	-2.175	0.0	0.0
RPL23A	0.0	0.0	-1.796	-2.068	-1.7	0.0	0.0
AVT5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ROX3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL095W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NRG2	1.889	0.0	0.0	0.0	0.0	0.0	1.003
BAP2	0.0	0.0	1.048	0.0	0.0	0.0	0.0
ALG14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HSP26	2.931	3.885	3.887	3.876	2.678	1.897	1.562
YBR074W	0.0	-1.442	0.0	0.0	0.0	0.0	0.0
ECM8	0.0	0.0	0.0	0.0	0	0.0	0.0
CDC28	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TOS1	0.0	0.0	-1.2	-1.552	-1.212	0.0	-1.085
DEM1	0.0	-1.152	0.0	-1.014	0.0	0.0	0.0
UBS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POP7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSE2	2.963	3.773	4.417	3.912	3.042	2.428	1.873
YBR255W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POP4	0.0	0.0	-1.171	0.0	0.0	0.0	0.0
YBR259W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR261C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHM1	0.0	-1.045	-1.347	-1.327	-1.153	0.0	0.0
TSC10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
APA1	1.19	1.753	1.542	1.344	0.0	0.0	0.0
PBN1	0.0	1.147	1.16	1.125	0.0	0.0	0.0
SPB1	-2.29	-3.412	-3.545	-2.942	-1.717	0.0	0.0
YCL056C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCL058C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MRC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWP2	-1.071	-1.645	-1.728	-1.32	-1.627	0.0	0.0
TAH1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCR061W	1.31	2.127	2.616	2.372	1.349	1.59	1.303
YCR064C	0.0	0.0	0.0	0.0	-1.354	0.0	0.0
RAD18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATG15	0.0	0.0	1.393	1.035	0.0	1.003	0.0
YDL026W	0	1.301	1.121	0.0	0	0	0
MPS1	0	0.0	0.0	0.0	0.0	0.0	0
PRP9	0	0.0	0.0	0.0	0.0	0.0	0
YDL032W	0	0.0	0.0	0.0	0.0	0.0	0.0
YDL034W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PUS9	0	0	0	0	0	0	0
UBP1	0.0	-1.816	-1.195	0.0	0.0	0.0	0.0
YDL124W	1.837	2.899	3.398	3.375	2.513	1.785	1.439
CDC48	0.0	0.0	1.054	1.143	0.0	0.0	0.0
VCX1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPP1B	0	0	0	0	0	0	0
CDC53	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL218W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDC13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FMP45	2.205	4.852	5.532	5.486	4.18	1.515	0.0
WHI4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL228C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RTR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DOS2	0.0	0.0	0.0	0.0	0.0	0.0	1.117
FMP16	0.0	0.0	0.0	1.058	0.0	0.0	0.0
IPT1	0.0	0.0	0.0	0.0	-1.017	0.0	0.0
TPS2	3.773	3.859	4.362	4.275	1.842	1.936	1.766
RAD55	0.0	0.0	0.0	0.0	-1.132	0.0	0.0
NBP2	0.0	0	0.0	0.0	0.0	0.0	0.0
SEC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SEC5	0	0.0	0.0	0.0	0.0	0.0	0.0
CDC37	0.0	0.0	0.0	1.154	0.0	0.0	0.0
SEC7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SUP35	0.0	-1.492	-1.011	0.0	0.0	0.0	0.0
CIA1	0.0	-1.14	0.0	-1.064	0.0	0.0	0.0
MSW1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR269C	0	0.0	0.0	0.0	2.467	0.0	0.0
CCC2	0.0	0.0	1.014	0.0	0.0	0.0	0.0
YDR271C	0.0	0.0	1.101	0.0	0.0	0.0	0.0
GLO2	0.0	1.403	1.456	1.837	0.0	1.002	1.176
TRP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPC110	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGA1	2.055	2.138	2.604	2.612	0.0	1.052	1.103
YDR360W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TFC6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDC40	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS18A	0.0	0.0	-1.91	-1.979	-2.047	0.0	0.0
PPN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GUK1	0.0	0.0	-1.104	-1.495	-1.741	0.0	0.0
NHX1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HEH2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TFB3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IRC22	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GIM4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VAB2	0	0.0	0.0	0.0	0.0	0.0	0.0
YEL007W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GCN4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLC3	3.051	4.119	5.079	0	0	0	0
YER0191C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPA2	1.481	1.397	1.699	1.636	0.0	0.0	0.0
SRB4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAT2	0	0.0	0.0	0.0	0.0	0.0	0.0
CHO1	0.0	1.203	1.508	1.127	0.0	0.0	0.0
MIG3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SWI4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMN3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPR6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL23B	0.0	0.0	-1.836	-1.868	-1.677	0.0	0.0
AVT6	1.052	1.924	2.758	2.319	2.045	1.649	1.277
YER121W	0	0	1.589	1.195	0	0	0
HSP12	4.928	6.328	6.892	6.782	5.905	5.768	4.985
MDJ1	3.102	3.485	3.054	2.768	1.324	1.76	1.475
LPD1	0.0	0.0	1.117	1.106	0.0	0.0	0.0
PAU5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FRS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERJ5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IRC6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YFR045W	0	0.0	1.126	0.0	0.0	0.0	0.0
BNA6	0.0	0.0	1.485	1.204	1.583	0.0	0.0
YMR31	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RET2	0.0	0.0	0.0	0.0	0.0	0	0.0
FMP37	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGL082W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GUP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGL088W	0	0.0	0.0	0.0	0.0	0.0	0.0
LIF1	0.0	0	0.0	0.0	0.0	0.0	0.0
YGL176C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MPT5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATG1	0.0	0.0	1.881	1.879	1.489	0.0	0.0
YGL182C	0	0.0	0.0	0.0	0.0	0.0	0.0
STR3	0	0	0.0	0.0	1.677	1.668	0
TPN1	0.0	0.0	0.0	0.0	1.168	0.0	0.0
SEC9	0.0	0.0	1.016	0.0	0.0	0.0	0.0
YGR011W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNU71	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGR015C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGR017W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UGA1	0.0	2	3.016	2.8	2.157	2.285	1.983
VMA21	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGR107W	0	0.0	0.0	0.0	0	0.0	-1.27
CLB6	0	0	0	0	0	0	0
YGR111W	0.0	1.463	1.819	1.906	1.29	0.0	0.0
DAM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGR115C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGR201C	0	0.0	1.978	1.832	1.976	0.0	0.0
YGR203W	0	0.0	0.0	0.0	0.0	0.0	0.0
YGR205W	1.125	1.207	2.15	2.145	1.165	0.0	0.0
YGR207C	0.0	0.0	0.0	1.244	0.0	1.205	1.412
TRX2	0.0	1.195	1.063	1.001	0.0	0.0	0.0
ZPR1	3.223	1.408	0.0	0.0	0.0	0.0	0.0
RPL14B	0.0	0.0	-1.54	-1.692	-1.242	0.0	0.0
LAG1	0.0	0.0	0.0	0.0	0.0	0.0	0
YHL005C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
