Gene	logFC	FDR adjusted Pvalue
9543	6.086662603	7.11E-33
165	2.119807885	3.26E-30
2200	2.11041009	1.21E-29
1307	1.870069522	2.53E-29
633	1.863730569	2.53E-29
1289	2.382577694	1.26E-28
83716	2.219672648	3.75E-28
1278	1.974758942	5.07E-27
84627	1.994607026	1.60E-26
7078	2.181019553	2.05E-26
1277	2.192571709	2.33E-25
1842	1.86678313	2.33E-25
1293	1.890255497	2.91E-25
148113	1.974907123	2.91E-25
55083	2.300251331	4.01E-25
11117	1.944180571	1.02E-24
1281	2.18873354	1.04E-24
284297	2.029895711	1.73E-24
114905	2.168753328	9.34E-24
4313	1.834744027	1.61E-23
83468	1.843227693	6.31E-23
2318	2.323973777	6.33E-23
1295	2.237147245	9.37E-23
1462	2.108601101	1.76E-22
775	2.111022339	1.88E-22
10082	2.110246929	2.01E-22
1009	1.871630167	2.97E-22
114899	2.163711865	4.38E-22
85352	2.852621317	7.52E-22
7425	4.086571198	2.87E-21
1290	2.047531191	3.52E-21
147906	1.821915193	8.10E-21
127435	1.987190683	2.45E-20
2335	1.984880717	2.89E-20
5592	1.913816012	7.14E-20
389136	1.977325723	8.85E-20
7058	2.049326176	9.42E-20
23704	1.848194405	1.78E-19
56917	1.80700917	2.95E-19
140862	1.96186003	3.20E-19
81792	2.096570299	5.46E-19
441631	2.351259223	7.62E-19
84624	1.954231759	1.44E-18
10234	2.137906046	1.66E-18
4330	2.006180801	1.83E-18
114794	2.982054963	3.37E-18
11227	2.028912762	4.06E-18
5740	2.041317648	4.65E-18
57158	1.961018404	5.86E-18
8639	1.916360585	5.93E-18
80114	1.933443499	6.06E-18
9509	1.911777697	6.31E-18
4969	2.907738682	1.02E-17
185	2.283330889	1.10E-17
22801	1.96975605	1.18E-17
54551	2.40338384	1.32E-17
5054	2.077319208	1.46E-17
8038	2.031627343	2.49E-17
340075	1.931968009	2.73E-17
4148	1.841448235	4.86E-17
120114	2.873323635	1.05E-16
8483	2.167968288	2.79E-16
387914	2.275216638	4.08E-16
4188	2.099511579	6.07E-16
144347	2.004264802	9.13E-16
6424	2.115082345	1.10E-15
5798	2.396598547	3.43E-15
23460	2.051220872	3.60E-15
170690	2.880829787	5.30E-15
85409	1.884150284	5.96E-15
3624	2.013010066	7.90E-15
79987	2.031755949	1.09E-14
6695	2.108449787	1.12E-14
1038	2.127996869	1.33E-14
84935	1.927594023	1.52E-14
10351	2.49773015	2.45E-14
56033	2.911900127	4.42E-14
131578	2.705837202	5.42E-14
8913	2.313971062	5.86E-14
5789	2.21325617	8.90E-14
63895	2.119700997	1.51E-13
5346	2.767331701	1.63E-13
9464	1.909092608	1.77E-13
4958	2.461623982	1.86E-13
8839	2.314041339	1.97E-13
54829	2.247978284	2.83E-13
115701	2.073380511	3.30E-13
79776	1.932715465	4.21E-13
64388	1.93417537	4.92E-13
51050	2.412975045	7.81E-13
56603	1.993908559	8.13E-13
84432	3.404634162	9.72E-13
50614	3.175898558	1.25E-12
6423	2.854324608	1.43E-12
72	1.895822954	1.69E-12
7379	2.557663822	1.70E-12
579	2.34837061	1.98E-12
5396	1.930737361	2.05E-12
26153	1.978832567	3.01E-12
1592	2.325298814	3.18E-12
164312	1.899319659	3.96E-12
1301	2.468927334	4.85E-12
27063	2.733199781	5.57E-12
6358	2.260596638	7.40E-12
65266	2.300791424	8.62E-12
9547	2.30309813	9.70E-12
114784	2.027977661	1.23E-11
1300	1.996314552	1.51E-11
2949	2.107646699	2.82E-11
8013	2.024722132	3.26E-11
84620	1.944837801	3.43E-11
7857	1.808206112	3.85E-11
63976	2.347563779	5.18E-11
79625	1.864908231	6.24E-11
2670	2.95596974	6.95E-11
4239	1.865431149	7.93E-11
223117	1.910589393	9.41E-11
10699	1.936007387	1.02E-10
9068	1.952566995	1.19E-10
2191	1.843242081	1.39E-10
340146	2.377584322	1.51E-10
4804	2.258461843	1.61E-10
9358	2.007016438	1.94E-10
23237	2.179786	2.17E-10
54905	2.83929378	2.35E-10
4045	1.880486735	2.82E-10
10642	2.646924493	6.00E-10
4629	1.898736048	6.35E-10
8076	1.88790597	8.68E-10
84466	2.182280905	8.89E-10
5350	1.973946937	9.42E-10
1299	2.132353411	1.01E-09
108	2.92850518	1.14E-09
257194	1.87732158	1.16E-09
90019	2.516106062	1.61E-09
1311	2.309963948	1.61E-09
6899	1.927112207	1.66E-09
6332	2.245748641	1.75E-09
57537	1.851551095	2.42E-09
64399	1.981391958	3.07E-09
1359	2.250400215	3.49E-09
219348	1.813471692	4.36E-09
342897	2.269372858	4.81E-09
55714	2.074282587	5.11E-09
56301	2.427805827	5.52E-09
25928	2.300179941	5.76E-09
5737	2.078900503	9.10E-09
482	1.83504521	9.31E-09
10216	2.41990488	1.01E-08
415	2.134067421	1.14E-08
1280	2.930295889	1.17E-08
1943	2.778149476	1.22E-08
7140	2.818771235	1.85E-08
136227	1.949851216	1.91E-08
9370	3.560733982	2.34E-08
125	2.739884078	2.70E-08
9244	2.203668395	3.03E-08
2304	2.956191544	6.23E-08
1749	1.940236239	9.40E-08
1805	1.885948985	1.07E-07
1833	2.368779625	1.22E-07
3036	2.203027183	1.66E-07
10631	1.821905048	1.80E-07
5320	2.40915054	1.82E-07
40	2.296038021	2.38E-07
653145	1.858945557	2.45E-07
477	1.864325996	3.10E-07
6496	2.821966164	4.24E-07
27087	1.967659734	4.53E-07
2248	3.503654048	5.38E-07
1469	2.119204519	6.30E-07
4685	1.814184573	1.17E-06
2571	1.898120719	1.91E-06
131873	1.83271204	3.15E-06
2312	2.452392371	3.18E-06
2167	2.603578137	6.06E-06
8581	2.642960843	6.43E-06
8854	1.89412492	6.53E-06
2662	1.835258051	7.67E-06
3481	2.049739749	1.10E-05
6664	1.953000002	1.22E-05
146664	1.829583047	2.24E-05
149461	2.104372045	2.45E-05
727897	1.802339331	2.65E-05
1804	1.905169335	3.72E-05
80059	1.883288515	3.99E-05
9965	2.334952768	6.87E-05
1917	1.886002725	0.000106025
3975	1.93805761	0.00010826
723961	1.867744857	0.00012852
4322	1.965297313	0.000638549
51214	1.832688032	0.00082907
8788	1.934639079	0.007305316
