Gene,logFC,FDR adjusted Pvalue
5698,-1.548464839,4.71E-17
115361,-1.58724209,1.11E-16
6890,-1.370056283,1.36E-16
5016,-4.479274575,3.52E-16
389903,-3.702066983,1.59E-15
5696,-1.110889273,1.30E-14
9856,-2.424619406,3.21E-14
3627,-1.820197413,1.63E-13
3580,-2.071875149,2.22E-13
3134,-1.26278145,4.76E-13
1573,-1.478388484,5.46E-13
3902,-1.399074314,9.38E-13
79370,-1.556960939,1.41E-12
952,-1.643405752,1.87E-12
5920,-1.419177738,3.38E-12
51513,-1.535862274,5.14E-12
10866,-1.243544024,8.43E-12
116071,-1.338233407,1.06E-11
3112,-1.526454034,1.82E-11
8991,-1.142596966,2.81E-11
1733,-2.783917958,4.35E-11
3108,-1.220435813,5.67E-11
51191,-1.303525271,5.93E-11
6373,-1.746964491,1.23E-10
5284,-3.302778633,2.26E-10
64135,-1.127952925,2.36E-10
10537,-2.08998347,2.50E-10
1690,-2.315151887,3.50E-10
4049,-1.259405347,5.91E-10
8743,-1.391565474,6.35E-10
83698,-2.690204138,6.36E-10
3620,-1.770690958,6.92E-10
4602,-1.240499012,1.68E-09
92196,-1.947997357,5.06E-09
9447,-1.348421225,5.17E-09
1113,-3.04549192,8.81E-09
4261,-1.15702272,1.43E-08
9636,-1.347231742,1.55E-08
3113,-1.130677655,1.85E-08
260293,-1.444987972,3.16E-08
356,-1.324720973,3.94E-08
3434,-1.315671678,4.02E-08
3109,-1.101917776,4.83E-08
84419,-1.325188736,5.29E-08
7368,-1.161786138,5.83E-08
4922,-2.957009321,5.93E-08
3123,-1.161951667,5.97E-08
3429,-1.306876088,6.02E-08
219537,-1.352195727,6.15E-08
3437,-1.116487414,6.50E-08
3111,-1.350783453,7.72E-08
3433,-1.114200283,7.79E-08
115362,-1.206418437,8.50E-08
3127,-1.48162584,1.03E-07
81030,-1.549765624,1.09E-07
6846,-1.33350973,1.28E-07
55897,-1.33180571,1.30E-07
441168,-1.181311104,1.62E-07
8638,-1.265014198,2.12E-07
27074,-1.218478435,2.33E-07
10964,-1.150525872,2.66E-07
4283,-1.564258475,2.68E-07
874,-1.132028102,2.94E-07
6355,-1.133236335,1.44E-06
51365,-2.184832389,2.32E-06
219527,-1.671741348,2.55E-06
685,-1.116717497,2.86E-06
256933,-1.126234633,2.87E-06
388125,-1.472716133,3.19E-06
1116,-1.135102161,4.02E-06
83401,-1.358216037,5.13E-06
2537,-1.165417964,5.56E-06
254773,-1.659190745,6.98E-06
57823,-1.207859854,7.60E-06
55876,-1.107578343,9.97E-06
257101,-1.207267543,1.23E-05
548321,-1.206508657,1.53E-05
79838,-1.154919556,1.71E-05
54979,-1.303970508,1.79E-05
1029,-1.176064957,2.44E-05
197135,-1.15674418,2.65E-05
91703,-1.422581927,2.90E-05
100048912,-1.1432599,3.13E-05
1580,-1.460051888,4.30E-05
2938,-1.815826122,4.47E-05
10578,-1.298935397,4.47E-05
221188,-1.212424787,5.18E-05
79679,-1.255949321,5.28E-05
3512,-1.600243409,5.33E-05
3934,-1.158697057,5.70E-05
4160,-1.799744366,5.78E-05
284340,-1.543635474,6.28E-05
169166,-1.671240547,6.32E-05
1047,-1.140675156,6.76E-05
4693,-1.399777569,7.75E-05
127003,-1.739441595,8.06E-05
2700,-1.428493208,9.35E-05
26279,-1.45538229,0.000103292
151790,-1.553205353,0.000113451
6954,-1.317386256,0.000123142
285180,-1.229120951,0.000136405
440107,-1.347988126,0.000143074
3158,-2.124590501,0.000146753
27022,-2.271259942,0.000157151
4680,-1.531497385,0.000158277
3135,-1.395736187,0.000175936
57535,-1.610691742,0.000185249
3231,-1.247639359,0.000188789
6506,-1.354392784,0.000196632
10563,-1.302638532,0.000196632
27132,-1.22456414,0.000208019
1259,-1.272731333,0.000211642
51083,-1.502716025,0.000219623
6439,-1.549348677,0.000234839
3118,-1.269538989,0.000246162
563,-1.430278403,0.000269494
28234,-2.056580018,0.00030838
6456,-1.468987885,0.000318212
251,-2.168370641,0.000385298
6289,-1.370911488,0.000402474
6750,-1.80036955,0.00040483
145741,-1.406862384,0.000539206
83853,-1.171268334,0.000555184
7356,-2.325929324,0.000556978
5083,-1.800135109,0.000557901
266977,-1.136575643,0.000568617
5105,-1.390461868,0.000634112
3662,-1.163071347,0.000671999
3034,-1.410959021,0.000692334
64241,-1.255931745,0.000770941
54937,-1.362775679,0.000798363
3128,-1.259297864,0.000912677
143662,-1.291188138,0.000933779
4608,-1.178809728,0.001004691
608,-1.343059022,0.001086489
1010,-1.572804408,0.001239344
26576,-1.12066107,0.001291203
146556,-1.31236265,0.00195599
138255,-1.338595521,0.002010441
6364,-1.242623502,0.002657134
51237,-1.24305729,0.003240108
121355,-1.610630379,0.003336292
5967,-1.78567632,0.003401986
10562,-2.205076983,0.003508177
8755,-1.259388612,0.003671736
50487,-1.150918228,0.003697727
150763,-1.336404626,0.003919002
7033,-1.438343093,0.004010784
440585,-1.15193633,0.004828685
2891,-1.168106711,0.004968278
1755,-1.527777132,0.005056893
100130889,-1.146586061,0.00505824
3169,-1.419002409,0.007483338
57159,-1.114604758,0.008679762
479,-1.513427547,0.009374937
10321,-1.585786423,0.009434493
23209,-1.283840325,0.0101677
6557,-1.184501525,0.01065743
2328,-1.183542776,0.012453847
53828,-1.311827471,0.013165968
60675,-1.363194074,0.01619207
1644,-1.108733605,0.019541727
53842,-2.467987037,0.02332746
1544,-1.165034034,0.031377691
9947,-1.267185548,0.046287516
219970,-1.278435891,0.04873219
