Gene,logFC,FDR adjusted Pvalue
9543,6.086662603,7.11E-33
84168,1.647298453,2.52E-32
165,2.119807885,3.26E-30
23452,1.54852704,1.18E-29
2200,2.11041009,1.21E-29
1307,1.870069522,2.53E-29
633,1.863730569,2.53E-29
1289,2.382577694,1.26E-28
6678,1.719674946,3.24E-28
114904,1.630516231,3.62E-28
83716,2.219672648,3.75E-28
1278,1.974758942,5.07E-27
3912,1.585881231,1.06E-26
84627,1.994607026,1.60E-26
7078,2.181019553,2.05E-26
4017,1.569029503,3.63E-26
800,1.277715566,3.84E-26
9891,1.660885555,1.43E-25
284119,1.44919606,1.55E-25
253827,1.582456102,2.32E-25
1277,2.192571709,2.33E-25
1842,1.86678313,2.33E-25
1293,1.890255497,2.91E-25
148113,1.974907123,2.91E-25
55083,2.300251331,4.01E-25
1292,1.723938764,6.35E-25
11117,1.944180571,1.02E-24
1281,2.18873354,1.04E-24
23022,1.274307821,1.04E-24
284297,2.029895711,1.73E-24
8321,1.399766312,1.73E-24
4016,1.51634735,2.93E-24
5159,1.573440261,6.14E-24
3090,1.664742359,7.42E-24
114905,2.168753328,9.34E-24
285590,1.15135683,1.11E-23
7057,1.627903234,1.48E-23
4313,1.834744027,1.61E-23
337876,1.616023108,4.43E-23
83468,1.843227693,6.31E-23
8642,1.686141002,6.31E-23
2318,2.323973777,6.33E-23
1295,2.237147245,9.37E-23
1462,2.108601101,1.76E-22
775,2.111022339,1.88E-22
10082,2.110246929,2.01E-22
51339,1.752791309,2.53E-22
1009,1.871630167,2.97E-22
4035,1.342224522,3.69E-22
114899,2.163711865,4.38E-22
11178,1.520633053,5.91E-22
118429,1.283011869,7.14E-22
85352,2.852621317,7.52E-22
11167,1.403078219,1.05E-21
4323,1.368785177,1.06E-21
1291,1.688249394,1.70E-21
11173,1.756049439,2.12E-21
7425,4.086571198,2.87E-21
90993,1.665818167,3.12E-21
1290,2.047531191,3.52E-21
90139,1.794585295,4.76E-21
25802,1.747658062,7.72E-21
3487,1.345689687,8.10E-21
147906,1.821915193,8.10E-21
59,1.759265387,1.52E-20
10395,1.456050957,1.59E-20
56937,1.743233612,1.59E-20
91179,1.479117727,2.24E-20
7041,1.279546024,2.30E-20
127435,1.987190683,2.45E-20
6591,1.672015073,2.58E-20
2335,1.984880717,2.89E-20
6935,1.341380607,3.06E-20
10186,1.3542645,5.87E-20
5592,1.913816012,7.14E-20
7077,1.108468717,7.99E-20
389136,1.977325723,8.85E-20
7058,2.049326176,9.42E-20
55752,0.848193017,1.07E-19
4811,1.369134811,1.26E-19
23704,1.848194405,1.78E-19
81035,1.595073798,1.79E-19
114897,1.548247369,1.79E-19
27295,1.690043835,2.44E-19
116535,1.398911578,2.85E-19
56917,1.80700917,2.95E-19
140862,1.96186003,3.20E-19
219654,1.368985934,3.35E-19
392617,1.397227269,3.75E-19
51313,1.251662294,5.44E-19
7043,1.682966546,5.44E-19
81792,2.096570299,5.46E-19
441631,2.351259223,7.62E-19
25927,1.273290713,1.07E-18
22856,0.848537365,1.34E-18
55033,1.072644212,1.39E-18
84624,1.954231759,1.44E-18
10234,2.137906046,1.66E-18
4330,2.006180801,1.83E-18
11259,1.352293617,2.36E-18
83700,1.329998437,3.18E-18
64175,0.965899747,3.18E-18
55959,1.591267302,3.18E-18
114794,2.982054963,3.37E-18
10335,1.386924258,3.73E-18
11227,2.028912762,4.06E-18
122786,1.293516822,4.15E-18
51661,1.107885557,4.55E-18
5740,2.041317648,4.65E-18
25960,1.434780081,4.84E-18
57158,1.961018404,5.86E-18
8639,1.916360585,5.93E-18
8840,1.567478026,5.94E-18
80114,1.933443499,6.06E-18
9509,1.911777697,6.31E-18
4015,1.742472064,7.20E-18
3678,1.128004729,7.22E-18
4681,1.404611162,8.78E-18
9902,1.208537333,8.85E-18
4969,2.907738682,1.02E-17
9079,1.122168868,1.06E-17
185,2.283330889,1.10E-17
22801,1.96975605,1.18E-17
26524,0.912679277,1.24E-17
54551,2.40338384,1.32E-17
151887,1.745444232,1.35E-17
5054,2.077319208,1.46E-17
3491,1.662050041,1.51E-17
1490,1.748975317,1.65E-17
283208,1.699483632,1.65E-17
83872,1.620274639,1.73E-17
27286,1.374684292,1.87E-17
146227,1.675669642,2.04E-17
2737,1.62029043,2.38E-17
8038,2.031627343,2.49E-17
114757,1.306152123,2.63E-17
340075,1.931968009,2.73E-17
10630,1.642031894,3.10E-17
57124,1.596147563,4.03E-17
81794,1.648410204,4.11E-17
5698,-1.548464839,4.71E-17
4148,1.841448235,4.86E-17
84662,1.113227334,5.85E-17
57722,1.663553889,6.93E-17
120114,2.873323635,1.05E-16
10536,1.450612199,1.05E-16
115361,-1.58724209,1.11E-16
5721,-1.054755391,1.15E-16
5376,1.174809714,1.17E-16
10417,1.337615391,1.21E-16
6890,-1.370056283,1.36E-16
5654,1.252046908,1.73E-16
144165,1.678964659,2.10E-16
56999,1.652905205,2.17E-16
9448,0.818065512,2.26E-16
25992,1.400064241,2.54E-16
8483,2.167968288,2.79E-16
84206,1.41712129,3.30E-16
5016,-4.479274575,3.52E-16
64094,1.508559775,3.59E-16
79827,1.777730443,3.69E-16
10602,0.878247544,3.86E-16
79586,0.988421258,3.97E-16
387914,2.275216638,4.08E-16
8482,1.105582181,4.19E-16
3488,1.638845629,5.59E-16
8406,1.553732071,5.61E-16
89795,1.685290595,5.87E-16
5118,1.636554776,5.87E-16
4188,2.099511579,6.07E-16
1634,1.62038937,6.34E-16
10609,0.789031971,7.58E-16
25903,1.571998018,7.93E-16
55568,0.950641446,8.89E-16
144347,2.004264802,9.13E-16
6424,2.115082345,1.10E-15
89796,1.221183498,1.27E-15
389903,-3.702066983,1.59E-15
5999,1.672327565,1.63E-15
6925,0.918570937,2.79E-15
4628,1.00537992,3.11E-15
9945,1.587602096,3.13E-15
5098,1.037748195,3.18E-15
5798,2.396598547,3.43E-15
23460,2.051220872,3.60E-15
27147,1.564371643,4.49E-15
5720,-0.906954568,4.56E-15
344558,1.426267732,4.69E-15
170690,2.880829787,5.30E-15
84561,1.032148682,5.36E-15
5156,1.671686889,5.86E-15
85409,1.884150284,5.96E-15
3624,2.013010066,7.90E-15
9843,1.391273153,8.77E-15
79987,2.031755949,1.09E-14
85027,1.044507635,1.10E-14
6695,2.108449787,1.12E-14
2115,1.493726139,1.20E-14
5696,-1.110889273,1.30E-14
2162,1.498266878,1.30E-14
1909,1.494772902,1.31E-14
1038,2.127996869,1.33E-14
9353,1.609237192,1.35E-14
5311,0.766351638,1.41E-14
220164,1.637890596,1.50E-14
84935,1.927594023,1.52E-14
57493,1.202424894,1.58E-14
283298,1.35386492,1.99E-14
60312,0.963081137,2.07E-14
5924,1.49542903,2.37E-14
10351,2.49773015,2.45E-14
6383,1.400666257,2.97E-14
9638,1.030321669,3.02E-14
652,1.740137236,3.12E-14
9246,-1.038222579,3.17E-14
9856,-2.424619406,3.21E-14
6586,1.723382962,3.35E-14
54587,1.654929744,3.48E-14
9644,1.046226165,4.03E-14
56033,2.911900127,4.42E-14
10272,1.186488179,4.68E-14
140766,1.581703221,4.70E-14
1284,0.965539793,5.28E-14
649,0.929968078,5.42E-14
131578,2.705837202,5.42E-14
1893,1.36273893,5.49E-14
1264,1.798232195,5.64E-14
8913,2.313971062,5.86E-14
7373,1.744253993,5.86E-14
22836,1.311858376,6.20E-14
115908,1.489548726,7.74E-14
10231,1.154172483,8.50E-14
5789,2.21325617,8.90E-14
650,1.779285977,9.41E-14
113157,1.559069593,9.53E-14
64131,1.674646759,9.59E-14
6891,-1.069743921,9.60E-14
3339,1.044758721,1.06E-13
83742,0.972196541,1.13E-13
1282,0.968519621,1.19E-13
5010,1.574022515,1.37E-13
83439,1.452104492,1.40E-13
11031,0.83663278,1.43E-13
57125,1.180152303,1.45E-13
2817,1.031400542,1.49E-13
63895,2.119700997,1.51E-13
27129,1.741587292,1.57E-13
3627,-1.820197413,1.63E-13
5346,2.767331701,1.63E-13
2669,1.435183591,1.65E-13
9464,1.909092608,1.77E-13
4958,2.461623982,1.86E-13
8839,2.314041339,1.97E-13
3659,-1.059866922,2.12E-13
3580,-2.071875149,2.22E-13
10085,1.74843708,2.57E-13
2006,1.749007681,2.63E-13
55068,1.636168842,2.78E-13
54829,2.247978284,2.83E-13
25907,1.632489163,2.97E-13
729359,1.74187994,3.12E-13
2252,1.71251311,3.24E-13
115701,2.073380511,3.30E-13
126917,1.194753991,3.40E-13
2149,1.063712691,4.05E-13
79776,1.932715465,4.21E-13
6387,1.617036995,4.48E-13
3134,-1.26278145,4.76E-13
114801,1.247056744,4.83E-13
64388,1.93417537,4.92E-13
1573,-1.478388484,5.46E-13
