Gene ID,hypercholesterolemia vs normal log2foldchange
ENSG00000229807,3.1
ENSG00000229807,2.8
ENSG00000229807,1.9
ENSG00000138640,1.6
ENSG00000138640,1.5
ENSG00000123219,1.2
ENSG00000138640,1.1
ENSG00000165617,1.1
ENSG00000070756,0.9
ENSG00000184557,1.2
ENSG00000153234,0.8
ENSG00000090104,0.7
ENSG00000153234,0.7
ENSG00000272256,1.1
ENSG00000090104,1
ENSG00000049247,0.9
ENSG00000022556,0.8
ENSG00000049247,0.8
ENSG00000059804,0.8
ENSG00000173114,0.7
ENSG00000117322,0.5
ENSG00000099985,1.1
ENSG00000173114,0.8
ENSG00000064886,0.2
ENSG00000278039,1.5
ENSG00000120875,0.9
ENSG00000138640,0.8
ENSG00000110848,0.7
ENSG00000171223,0.7
ENSG00000071073,0.6
ENSG00000163599,0.6
ENSG00000184588,0.6
ENSG00000124191,0.4
ENSG00000163600,0.4
ENSG00000230006,-0.2
ENSG00000129925,0.8
ENSG00000135778,0.8
ENSG00000167460,0.8
ENSG00000268001,0.8
ENSG00000070526,0.6
ENSG00000114737,0.6
ENSG00000120833,0.6
ENSG00000184588,0.5
ENSG00000169855,0.3
ENSG00000185650,0.3
ENSG00000135318,0.2
ENSG00000211898,0.2
ENSG00000205664,0.1
ENSG00000158966,0
ENSG00000112419,-0.6
ENSG00000226752,1.3
ENSG00000229056,1.1
ENSG00000169429,0.9
ENSG00000188002,0.9
ENSG00000203710,0.9
ENSG00000104549,0.7
ENSG00000135778,0.7
ENSG00000078596,0.6
ENSG00000114737,0.6
ENSG00000119185,0.6
ENSG00000069020,0.5
ENSG00000078596,0.5
ENSG00000099194,0.5
ENSG00000105835,0.5
ENSG00000115486,0.5
ENSG00000123689,0.5
ENSG00000143502,0.5
ENSG00000168646,0.5
ENSG00000177425,0.5
ENSG00000231074,0.5
ENSG00000237943,0.5
ENSG00000262655,0.5
ENSG00000071073,0.4
ENSG00000120833,0.4
ENSG00000144815,0.4
ENSG00000153234,0.4
ENSG00000168066,0.4
ENSG00000198846,0.4
ENSG00000226471,0.4
ENSG00000269292,0.4
ENSG00000066427,0.3
ENSG00000069020,0.3
ENSG00000115896,0.3
ENSG00000122188,0.3
ENSG00000144218,0.3
ENSG00000153234,0.3
ENSG00000160113,0.3
ENSG00000167191,0.3
ENSG00000176749,0.3
ENSG00000181896,0.3
ENSG00000198919,0.3
ENSG00000253304,0.3
ENSG00000078269,0.2
ENSG00000128699,0.2
ENSG00000144381,0.2
ENSG00000152894,0.2
ENSG00000155970,0.2
ENSG00000178732,0.2
ENSG00000030419,0.1
ENSG00000109943,0.1
ENSG00000173762,0.1
ENSG00000119801,0
ENSG00000127914,-0.5
ENSG00000183691,-0.5
ENSG00000154165,1.1
ENSG00000226752,1.1
ENSG00000270640,0.9
ENSG00000052126,0.8
ENSG00000080822,0.8
ENSG00000116133,0.7
ENSG00000120738,0.7
ENSG00000143442,0.7
ENSG00000166503,0.7
ENSG00000270641,0.7
ENSG00000272221,0.7
ENSG00000005102,0.6
ENSG00000101230,0.6
ENSG00000164307,0.6
ENSG00000173812,0.6
ENSG00000173889,0.6
ENSG00000178573,0.6
ENSG00000204711,0.6
ENSG00000058600,0.5
ENSG00000072274,0.5
ENSG00000083799,0.5
ENSG00000083799,0.5
ENSG00000102471,0.5
ENSG00000104341,0.5
ENSG00000105639,0.5
ENSG00000108306,0.5
ENSG00000111445,0.5
ENSG00000113088,0.5
ENSG00000143502,0.5
ENSG00000158234,0.5
ENSG00000167912,0.5
ENSG00000175470,0.5
ENSG00000180573,0.5
ENSG00000181873,0.5
ENSG00000184588,0.5
ENSG00000268001,0.5
ENSG00000069509,0.4
ENSG00000108960,0.4
ENSG00000110777,0.4
ENSG00000114737,0.4
ENSG00000119537,0.4
ENSG00000119537,0.4
ENSG00000135426,0.4
ENSG00000143502,0.4
ENSG00000144802,0.4
ENSG00000157800,0.4
ENSG00000160683,0.4
ENSG00000163519,0.4
ENSG00000165898,0.4
ENSG00000171791,0.4
ENSG00000179218,0.4
ENSG00000180611,0.4
ENSG00000198919,0.4
ENSG00000221963,0.4
ENSG00000233184,0.4
ENSG00000234420,0.4
ENSG00000047410,0.3
ENSG00000081320,0.3
ENSG00000089048,0.3
ENSG00000102349,0.3
ENSG00000105778,0.3
ENSG00000105810,0.3
ENSG00000108679,0.3
ENSG00000118402,0.3
ENSG00000124766,0.3
ENSG00000132199,0.3
ENSG00000135127,0.3
ENSG00000135318,0.3
ENSG00000135905,0.3
ENSG00000144152,0.3
ENSG00000144354,0.3
ENSG00000144476,0.3
ENSG00000147050,0.3
ENSG00000164180,0.3
ENSG00000164512,0.3
ENSG00000171843,0.3
ENSG00000172005,0.3
ENSG00000180376,0.3
ENSG00000182362,0.3
ENSG00000182551,0.3
ENSG00000185262,0.3
ENSG00000185338,0.3
ENSG00000196700,0.3
ENSG00000237773,0.3
ENSG00000245556,0.3
ENSG00000091409,0.2
ENSG00000115306,0.2
ENSG00000134152,0.2
ENSG00000138756,0.2
ENSG00000152495,0.2
ENSG00000154127,0.2
ENSG00000157933,0.2
ENSG00000161381,0.2
ENSG00000166181,0.2
ENSG00000168061,0.2
ENSG00000169047,0.2
ENSG00000171843,0.2
ENSG00000177425,0.2
ENSG00000186468,0.2
ENSG00000186854,0.2
ENSG00000188352,0.2
ENSG00000196700,0.2
ENSG00000223891,0.2
ENSG00000227354,0.2
ENSG00000234286,0.2
ENSG00000065413,0.1
ENSG00000070950,0.1
ENSG00000100393,0.1
ENSG00000106299,0.1
ENSG00000112182,0.1
ENSG00000116106,0.1
ENSG00000117643,0.1
ENSG00000126353,0.1
ENSG00000142173,0.1
ENSG00000143365,0.1
ENSG00000145779,0.1
ENSG00000149100,0.1
ENSG00000150907,0.1
ENSG00000154153,0.1
ENSG00000160191,0.1
ENSG00000163520,0.1
ENSG00000166046,0.1
ENSG00000167664,0.1
ENSG00000170128,0.1
ENSG00000173762,0.1
ENSG00000173917,0.1
ENSG00000173926,0.1
ENSG00000174946,0.1
ENSG00000179715,0.1
ENSG00000182871,0.1
ENSG00000183495,0.1
ENSG00000198937,0.1
ENSG00000211803,0.1
ENSG00000227354,0.1
ENSG00000228695,0.1
ENSG00000232021,0.1
ENSG00000246223,0.1
ENSG00000272888,0.1
ENSG00000047634,0
ENSG00000079308,0
ENSG00000094916,0
ENSG00000095794,0
ENSG00000101695,0
ENSG00000104897,0
ENSG00000106477,0
ENSG00000171843,0
ENSG00000182871,0
ENSG00000214941,0
ENSG00000033800,-0.1
ENSG00000038219,-0.1
ENSG00000205189,-0.1
ENSG00000171791,-0.2
ENSG00000080802,-0.3
ENSG00000100201,-0.6
ENSG00000170365,1.2
ENSG00000105835,0.9
ENSG00000113520,0.9
ENSG00000120738,0.9
ENSG00000173198,0.8
ENSG00000121895,0.7
ENSG00000203710,0.7
ENSG00000116791,0.6
ENSG00000171517,0.6
ENSG00000178104,0.6
ENSG00000198734,0.6
ENSG00000204272,0.6
ENSG00000249673,0.6
ENSG00000008294,0.5
ENSG00000067066,0.5
ENSG00000073756,0.5
