Bait,Prey,UniProt,HEKScore,JurkatScore,Score
GAG,THRAP3,Q9Y2W1,0.807,0.319,0.563
GAG,SEPSECS,Q9HD40,0.814,0.2,0.507
GAG,IVNS1ABP,Q9Y6Y0,0.753,0.26,0.506
GAG,DDX49,Q9Y6V7,0.824,0,0.412
GAG,PRMT1,Q99873,0.758,0.037,0.397
GAG,OLA1,Q9NTK5,0.777,0,0.389
GAG,EIF2AK2,P19525,0.766,0,0.383
GAG,RBM17,Q96I25,0.765,0,0.382
MA,EPRS,P07814,0.929,0.819,0.874
MA,OLA1,Q9NTK5,0.911,0.819,0.865
MA,SEPSECS,Q9HD40,0.862,0.831,0.846
MA,EEF1E1,O43324,0.907,0.764,0.836
MA,DARS,P14868,0.911,0.753,0.832
MA,RARS,P54136,0.922,0.737,0.829
MA,AIMP1,Q12904,0.919,0.74,0.829
MA,HARS2,P49590,0.856,0.774,0.815
MA,MARS,P56192,0.908,0.723,0.815
MA,KARS,Q15046,0.883,0.731,0.807
MA,LARS,Q9P2J5,0.835,0.773,0.804
MA,QARS,P47897,0.919,0.685,0.802
MA,TARS,P26639,0.869,0.717,0.793
MA,IARS,P41252,0.907,0.668,0.788
MA,NARS2,Q96I59,0.866,0.631,0.749
MA,AIMP2,Q13155,0.915,0.506,0.711
MA,SDCBP,O00560,0.833,0,0.416
MA,NOLC1,Q14978,0.809,0,0.404
MA,SDCCAG8,Q86SQ7,0.781,0,0.391
NC,PRMT1,Q99873,0.776,0.164,0.47
NC,RNH1,P13489,0.87,0,0.435
NC,THUMPD1,Q9NXG2,0.822,0,0.411
NC,LRRC47,Q8N1G4,0.814,0,0.407
NC,CSDE1,O75534,0.812,0,0.406
NC,STRAP,Q9Y3F4,0.788,0,0.394
NC,PPP1R12A,O14974,0.785,0,0.393
NC,CTNNA3,Q9UI47,0.781,0,0.391
NC,YTHDF3,Q7Z739,0.781,0,0.391
NC,NOL12,Q9UGY1,0.781,0,0.39
NC,NHP2L1,P55769,0.775,0,0.387
NC,MRPL11,Q9Y3B7,0.771,0,0.386
POL,EIF3F,O00303,0.894,0.871,0.882
POL,EIF3D,O15371,0.939,0.81,0.875
POL,EIF3C,Q99613,0.883,0.856,0.869
POL,EIF3A,Q14152,0.888,0.84,0.864
POL,EIF3L,Q9Y262,0.883,0.832,0.857
POL,EIF3K,Q9UBQ5,0.823,0.848,0.836
POL,UBR4,Q5T4S7,0.841,0.831,0.836
POL,OSBPL3,Q9H4L5,0.826,0.843,0.835
POL,EIF3H,O15372,0.801,0.868,0.834
POL,EIF3E,P60228,0.793,0.845,0.819
POL,EIF3B,P55884,0.822,0.735,0.779
POL,RUVBL1,Q9Y265,0.7,0.829,0.765
POL,PDIA4,P13667,0.864,0.661,0.762
POL,NFU1,Q9UMS0,0.775,0.733,0.754
POL,SUCLA2,Q9P2R7,0.69,0.794,0.742
POL,PDIA6,Q15084,0.408,0.82,0.614
POL,MCM7,P33993,0.412,0.75,0.581
POL,PELO,Q9BRX2,0.316,0.832,0.574
POL,RCN1,Q15293,0.773,0.302,0.538
POL,KIAA1967,Q8N163,0.152,0.874,0.513
POL,TYSND1,Q2T9J0,0,0.923,0.461
POL,EIF3I,Q13347,0.904,0,0.452
POL,FECH,P22830,0,0.848,0.424
POL,RECQL,P46063,0.846,0,0.423
POL,LGALS3BP,Q08380,0.843,0,0.421
POL,LIMD1,Q9UGP4,0.836,0,0.418
POL,EIF3G,O75821,0.83,0,0.415
POL,CTSB,P07858,0,0.825,0.413
POL,RRM2,P31350,0,0.824,0.412
POL,PSIP1,O75475,0,0.825,0.412
POL,MCM4,P33991,0,0.818,0.409
POL,GRB2,P62993,0,0.818,0.409
POL,PPP2CB,P62714,0.803,0,0.402
POL,MCM6,Q14566,0,0.804,0.402
POL,ANAPC2,Q9UJX6,0,0.799,0.4
POL,NUDC,Q9Y266,0,0.788,0.394
POL,IDH3A,P50213,0,0.773,0.387
POL,ARRB2,P32121,0,0.762,0.381
PR,OSBPL3,Q9H4L5,0.877,0.893,0.885
PR,LIMD1,Q9UGP4,0.938,0.804,0.871
PR,SSSCA1,O60232,0.92,0.806,0.863
PR,GOLGA1,Q92805,0.912,0.786,0.849
PR,EIF3K,Q9UBQ5,0.791,0.875,0.833
PR,POLE3,Q9NRF9,0.806,0.847,0.826
PR,POLE,Q07864,0.839,0.794,0.816
PR,EIF3E,P60228,0.763,0.854,0.808
PR,EIF3D,O15371,0.849,0.752,0.801
PR,EIF3A,Q14152,0.755,0.816,0.785
PR,EIF3C,Q99613,0.771,0.793,0.782
PR,FAM203A,Q9BTY7,0.723,0.839,0.781
PR,SF3A3,Q12874,0.723,0.839,0.781
PR,HERC2,O95714,0.828,0.725,0.777
PR,KIAA1967,Q8N163,0.768,0.786,0.777
PR,EIF3L,Q9Y262,0.778,0.764,0.771
PR,EIF3H,O15372,0.735,0.804,0.769
PR,FNIP1,Q8TF40,0.733,0.78,0.756
PR,ARRB2,P32121,0.723,0.783,0.753
PR,DIAPH1,O60610,0.693,0.799,0.746
PR,FLCN,Q8NFG4,0.708,0.767,0.738
PR,EIF3B,P55884,0.758,0.669,0.713
PR,NFU1,Q9UMS0,0.813,0.603,0.708
PR,POLE4,Q9NR33,0.757,0.647,0.702
PR,EIF3F,O00303,0.757,0.597,0.677
PR,EIF3M,Q7L2H7,0.794,0.446,0.62
PR,IFT122,Q9HBG6,0,0.905,0.452
PR,ARHGEF12,Q9NZN5,0.889,0,0.444
