Bait,Prey,HEKScore,AP-MS Score
GAG,THRAP3,0.807,0.563
GAG,SEPSECS,0.814,0.507
GAG,IVNS1ABP,0.753,0.506
GAG,DDX49,0.824,0.412
GAG,PRMT1,0.758,0.397
GAG,OLA1,0.777,0.389
GAG,EIF2AK2,0.766,0.383
GAG,RBM17,0.765,0.382
MA,EPRS,0.929,0.874
MA,OLA1,0.911,0.865
MA,SEPSECS,0.862,0.846
MA,EEF1E1,0.907,0.836
MA,DARS,0.911,0.832
MA,RARS,0.922,0.829
MA,AIMP1,0.919,0.829
MA,HARS2,0.856,0.815
MA,MARS,0.908,0.815
MA,KARS,0.883,0.807
MA,LARS,0.835,0.804
MA,QARS,0.919,0.802
MA,TARS,0.869,0.793
MA,IARS,0.907,0.788
MA,NARS2,0.866,0.749
MA,AIMP2,0.915,0.711
MA,SDCBP,0.833,0.416
MA,NOLC1,0.809,0.404
MA,SDCCAG8,0.781,0.391
NC,PRMT1,0.776,0.47
NC,RNH1,0.87,0.435
NC,THUMPD1,0.822,0.411
NC,LRRC47,0.814,0.407
NC,CSDE1,0.812,0.406
NC,STRAP,0.788,0.394
NC,PPP1R12A,0.785,0.393
NC,CTNNA3,0.781,0.391
NC,YTHDF3,0.781,0.391
NC,NOL12,0.781,0.39
NC,NHP2L1,0.775,0.387
NC,MRPL11,0.771,0.386
POL,EIF3F,0.894,0.882
POL,EIF3D,0.939,0.875
POL,EIF3C,0.883,0.869
POL,EIF3A,0.888,0.864
POL,EIF3L,0.883,0.857
POL,EIF3K,0.823,0.836
POL,UBR4,0.841,0.836
POL,OSBPL3,0.826,0.835
POL,EIF3H,0.801,0.834
POL,EIF3E,0.793,0.819
POL,EIF3B,0.822,0.779
POL,RUVBL1,0.7,0.765
POL,PDIA4,0.864,0.762
POL,NFU1,0.775,0.754
POL,SUCLA2,0.69,0.742
POL,PDIA6,0.408,0.614
POL,MCM7,0.412,0.581
POL,PELO,0.316,0.574
POL,RCN1,0.773,0.538
POL,KIAA1967,0.152,0.513
POL,TYSND1,0,0.461
POL,EIF3I,0.904,0.452
POL,FECH,0,0.424
POL,RECQL,0.846,0.423
POL,LGALS3BP,0.843,0.421
POL,LIMD1,0.836,0.418
POL,EIF3G,0.83,0.415
POL,CTSB,0,0.413
POL,RRM2,0,0.412
POL,PSIP1,0,0.412
POL,MCM4,0,0.409
POL,GRB2,0,0.409
POL,PPP2CB,0.803,0.402
POL,MCM6,0,0.402
POL,ANAPC2,0,0.4
POL,NUDC,0,0.394
POL,IDH3A,0,0.387
POL,ARRB2,0,0.381
PR,OSBPL3,0.877,0.885
PR,LIMD1,0.938,0.871
PR,SSSCA1,0.92,0.863
PR,GOLGA1,0.912,0.849
PR,EIF3K,0.791,0.833
PR,POLE3,0.806,0.826
PR,POLE,0.839,0.816
PR,EIF3E,0.763,0.808
PR,EIF3D,0.849,0.801
PR,EIF3A,0.755,0.785
PR,EIF3C,0.771,0.782
PR,FAM203A,0.723,0.781
PR,SF3A3,0.723,0.781
PR,HERC2,0.828,0.777
PR,KIAA1967,0.768,0.777
PR,EIF3L,0.778,0.771
PR,EIF3H,0.735,0.769
PR,FNIP1,0.733,0.756
PR,ARRB2,0.723,0.753
PR,DIAPH1,0.693,0.746
PR,FLCN,0.708,0.738
PR,EIF3B,0.758,0.713
PR,NFU1,0.813,0.708
PR,POLE4,0.757,0.702
PR,EIF3F,0.757,0.677
PR,EIF3M,0.794,0.62
PR,IFT122,0,0.452
PR,ARHGEF12,0.889,0.444
PR,DOHH,0.882,0.441
PR,EPPK1,0.858,0.429
PR,TRPS1,0.853,0.426
PR,VBP1,0.835,0.418
PR,FOXC1,0.833,0.416
PR,ALMS1,0.815,0.407
PR,OSBPL6,0.812,0.406
PR,MCM4,0,0.401
PR,SARS,0.8,0.4
PR,CARM1,0,0.4
PR,SMG6,0,0.4
PR,PUM2,0.799,0.399
PR,ANAPC1,0.797,0.398
PR,MSH2,0.795,0.397
PR,PARP4,0.785,0.393
PR,AKAP9,0,0.393
PR,DOK1,0,0.391
PR,MCL1,0.78,0.39
PR,FLAD1,0.78,0.39
PR,AHCY,0.77,0.385
PR,BICD2,0,0.385
PR,FKBP4,0.767,0.383
PR,GAK,0.76,0.38
PR,NFAT5,0.761,0.38
PR,EML3,0.752,0.376
RT,GRB2,0.861,0.818
RT,SLC9A3R1,0,0.388
RT,KIAA1429,0.77,0.385
IN,CKMT1A; CKMT1B,0.873,0.436
IN,UNC45A,0.851,0.426
IN,PLOD1,0.827,0.413
IN,FAM96B,0.824,0.412
IN,CAND2,0.823,0.411
IN,UBA1,0.818,0.409
IN,HDDC2,0.815,0.408
IN,TYSND1,0.81,0.405
IN,WDR61,0.8,0.4
IN,PSIP1,0,0.398
IN,PLAA,0.773,0.387
IN,HEATR1,0.77,0.385
IN,SUCLA2,0.768,0.384
IN,PDIA4,0.766,0.383
IN,RANBP6,0.763,0.382
IN,YWHAE,0.764,0.382
IN,CIAO1,0.765,0.382
IN,YWHAB,0.762,0.381
IN,MCM6,0.759,0.38
IN,SLC30A7,0.758,0.379
IN,IPO4,0.756,0.378
IN,PLOD2,0.754,0.377
IN,YWHAZ,0.755,0.377
IN,YWHAG,0.753,0.376
