Ensembl,expr.mean
ENSG00000000003,-0.099011197
ENSG00000000005,0.449117154
ENSG00000000419,0.039245887
ENSG00000000457,0.016582724
ENSG00000000460,-0.011275594
ENSG00000000938,0.025507715
ENSG00000000971,-0.107640768
ENSG00000001036,0.007232633
ENSG00000001084,0.044728291
ENSG00000001167,0.032013711
ENSG00000001497,0.035637569
ENSG00000001561,0.010331022
ENSG00000001617,-0.11408591
ENSG00000001626,0.351385894
ENSG00000001629,-0.010518261
ENSG00000001630,0.007123629
ENSG00000001631,0.005580439
ENSG00000002016,0.007171525
ENSG00000002330,-0.003917733
ENSG00000002549,0.037334552
ENSG00000002587,-0.033587294
ENSG00000002745,0.039102287
ENSG00000002746,-0.038959623
ENSG00000002822,0.019414678
ENSG00000002834,0.07375
ENSG00000002919,0.034894424
ENSG00000002933,-0.033880256
ENSG00000003056,-0.009634826
ENSG00000003096,0.126277728
ENSG00000003137,0.059386835
ENSG00000003147,-0.059673119
ENSG00000003249,0.056168174
ENSG00000003393,0.020782227
ENSG00000003400,0.071131843
ENSG00000003402,-0.015090722
ENSG00000003436,0.18567657
ENSG00000003756,-0.032033678
ENSG00000003989,-0.004506841
ENSG00000004059,-0.022065448
ENSG00000004139,0.119068556
ENSG00000004142,0.053957335
ENSG00000004399,0.02428734
ENSG00000004455,0.017806261
ENSG00000004468,0.264246649
ENSG00000004478,-0.012186015
ENSG00000004534,-0.020946984
ENSG00000004660,0.009193196
ENSG00000004700,0.056438757
ENSG00000004776,0.091802559
ENSG00000004779,0.019601005
ENSG00000004799,0.095928015
ENSG00000004809,0.290989793
ENSG00000004838,-0.355469378
ENSG00000004846,0.056593236
ENSG00000004848,0.072940956
ENSG00000004864,0.031170384
ENSG00000004866,0.034059872
ENSG00000004897,-0.01766819
ENSG00000004939,0.018624161
ENSG00000004948,0.129655088
ENSG00000004961,0.006430647
ENSG00000004975,0.019053311
ENSG00000005001,-0.023168505
ENSG00000005007,0.007124907
ENSG00000005020,-0.010961053
ENSG00000005022,0.053873728
ENSG00000005073,0.007087748
ENSG00000005075,1.35E-04
ENSG00000005100,0.041662408
ENSG00000005102,0.030133327
ENSG00000005108,0.028751665
ENSG00000005156,-0.006366545
ENSG00000005175,-0.006744059
ENSG00000005187,0.07823766
ENSG00000005194,0.046367459
ENSG00000005206,-0.02793766
ENSG00000005243,-0.081655393
ENSG00000005249,-0.116321854
ENSG00000005339,0.013944693
ENSG00000005381,0.133831506
ENSG00000005421,0.159085126
ENSG00000005448,-0.009354956
ENSG00000005469,-0.058802408
ENSG00000005471,-0.042515236
ENSG00000005486,-0.020935558
ENSG00000005513,0.192813464
ENSG00000005700,-0.037536885
ENSG00000005801,-0.015637112
ENSG00000005810,-0.001038711
ENSG00000005812,-0.068999086
ENSG00000005844,-0.014814448
ENSG00000005882,-0.038386654
ENSG00000005884,2.84E-04
ENSG00000005889,0.045384724
ENSG00000005893,0.016869857
ENSG00000005961,0.056630287
ENSG00000005981,0.012931135
ENSG00000006016,0.205530165
ENSG00000006025,-0.023092322
ENSG00000006042,-0.158534735
ENSG00000006047,-0.012853748
ENSG00000006059,-0.020704753
ENSG00000006062,0.02072532
ENSG00000006071,-0.392171695
ENSG00000006116,-0.011343141
ENSG00000006125,0.026089773
ENSG00000006128,0.413482313
ENSG00000006194,-0.018485832
ENSG00000006210,0.073828336
ENSG00000006282,-0.053036563
ENSG00000006327,-0.086853431
ENSG00000006377,0.262447302
ENSG00000006432,0.002938757
ENSG00000006451,0.029873857
ENSG00000006453,-0.020638483
ENSG00000006468,0.080051316
ENSG00000006530,0.039225453
ENSG00000006534,0.088507541
ENSG00000006555,0.076589828
ENSG00000006576,-0.011831488
ENSG00000006606,0.055745463
ENSG00000006607,-7.12E-04
ENSG00000006611,0.054824954
ENSG00000006634,0.035365629
ENSG00000006638,0.009290914
ENSG00000006652,0.170396481
ENSG00000006659,0.050821005
ENSG00000006695,0.020581353
ENSG00000006704,-0.018326331
ENSG00000006712,-0.018090859
ENSG00000006715,0.025542962
ENSG00000006744,0.013335603
ENSG00000006747,0.226176417
ENSG00000006756,0.050697609
ENSG00000006757,-0.165737203
ENSG00000006788,0.007263254
ENSG00000006831,0.168161335
ENSG00000006837,-0.037310329
ENSG00000007001,0.041508227
ENSG00000007038,0.271334569
ENSG00000007047,0.036761099
ENSG00000007062,0.172065441
ENSG00000007080,0.058673218
ENSG00000007129,0.109380102
ENSG00000007168,-0.009903417
ENSG00000007202,0.012519784
ENSG00000007216,0.044319927
ENSG00000007237,-0.079285009
ENSG00000007255,-0.032556656
ENSG00000007264,0.161275594
ENSG00000007306,0.150763887
ENSG00000007312,0.075843998
ENSG00000007314,0.079874009
ENSG00000007341,-0.002010976
ENSG00000007350,0.046503197
ENSG00000007372,0.221217311
ENSG00000007376,-0.006947898
ENSG00000007384,-0.016745576
ENSG00000007392,-0.032627971
ENSG00000007516,0.105732633
ENSG00000007541,-0.055055629
ENSG00000007866,-0.0021234
ENSG00000007908,-0.030352987
ENSG00000007933,0.083476985
ENSG00000007944,-0.045376026
ENSG00000007952,0.048599239
ENSG00000007968,0.028857698
ENSG00000008018,0.01062043
ENSG00000008056,0.003353155
ENSG00000008083,0.007936472
ENSG00000008086,-0.043658148
ENSG00000008118,0.025891388
ENSG00000008196,-0.981448059
ENSG00000008226,0.158894459
ENSG00000008277,0.013284388
ENSG00000008282,-0.057795704
ENSG00000008283,0.029115174
ENSG00000008294,0.054535898
ENSG00000008300,0.181706587
ENSG00000008311,0.025508684
ENSG00000008323,0.009858318
ENSG00000008324,-0.018993144
ENSG00000008382,-0.022882084
ENSG00000008394,-0.265565814
ENSG00000008405,0.020332038
ENSG00000008438,0.003708115
ENSG00000008441,-0.034469856
ENSG00000008513,-0.003833053
ENSG00000008516,0.155936929
ENSG00000008517,0.082891048
ENSG00000008710,0.011296181
ENSG00000008735,-0.189602682
ENSG00000008838,0.142055073
ENSG00000008853,-0.025346892
ENSG00000008869,-0.006347349
ENSG00000008988,0.034405302
ENSG00000009307,0.011075991
ENSG00000009335,0.020833618
ENSG00000009413,9.43E-04
ENSG00000009709,0.063196984
ENSG00000009724,0.005033821
ENSG00000009765,0.402263101
ENSG00000009790,0.044807309
ENSG00000009830,-0.003954296
ENSG00000009844,0.028692903
ENSG00000009950,0.093210238
