Hugo_Symbol	expr.mean
ELMO2	-0.000166598
CREB3L1	-0.005408135
RPS11	0.018380713
PNMA1	-0.06503702
MMP2	-0.074444239
C10orf90	0.252378733
ZHX3	0.007024377
ERCC5	-0.000391225
GPR98	-0.16621011
RXFP3	0.008223035
APBB2	-0.073151737
PRO0478	0.003582331
KLHL13	0.126277728
PRSSL1	0.127436444
PDCL3	0.012107863
DECR1	-0.016229205
SALL1	-0.01319068
CADM4	0.015993106
RPS18	-0.015000135
HNRPD	-0.032050437
CFHR5	0.020316717
SLC10A7	0.023756426
OR2K2	
LMAN1	0.015961804
SUHW1	0.12451051
CHD8	0.025772943
SUMO1	0.000410969
GP1BA	0.24783126
DDB1	-0.002218759
MYO9B	0.002768702
MMP7	-0.302719835
CRNKL1	0.006448355
C9orf45	0.027082812
XAB2	0.026944698
RTN1	0.062676695
KLHL14	0.050695757
TBX10	0.175893053
CENPQ	0.028000457
UTY	-0.000642441
ZBTB12	-0.041808044
DTNBP1	-0.01871458
KBTBD8	-0.001433508
ZEB1	-0.07183272
ZG16	0.368262799
MIER1	-0.020299269
ADAM5P	
CHD9	0.037672271
STK16	0.012462066
KIAA1486	
TOB2	-0.001746876
BANK1	0.102992382
OR2V2	-0.033676417
GRM2	-0.01094113
PROSC	0.119648537
SPIN2B	-0.009542962
PIR	0.051545792
IPO9	-0.032589102
EVC	-0.138667208
CXCL13	0.150131433
KIAA1199	-0.04119768
SORL1	-0.079332724
CHD1	0.031493144
SYN3	-0.003504267
SLC22A2	-0.029070077
SERPINF1	-0.150619126
WDR34	-0.000451097
OR7A17	-0.022683272
C9orf11	
RNF216L	0.020015356
LHB	0.035365631
STK25	-0.017951325
TAOK3	-0.024827925
LOC152573	0.169122336
C3orf39	-0.03139191
C14orf108	-0.007189316
CDC25B	0.115538651
BMP3	0.020924132
TMEM180	-0.045890311
MAP1LC3C	0.286217548
CRYGC	-0.054908592
POU3F1	0.04808126
C20orf32	0.008572212
CCDC95	0.012433272
HIGD1B	-0.098873857
USP6NL	0.110456353
ABCD4	-0.024945157
DIMT1L	-0.022774693
TEK	-0.004594903
SLC25A46	-0.046947289
LARP7	0.002632907
CD160	0.097497101
MT1JP	0.097255651
PHF20	-0.008045868
CPNE4	0.33057038
GTPBP1	0.016410914
RAB33B	-0.023786576
ALDOC	0.143466113
ZNF212	-0.011144424
NUDT1	0.035607263
RFPL2	0.043699879
ZNF83	-0.007533527
GDPD5	0.081165448
PDCD4	-0.025830091
CEP350	0.007539762
OR10A2	-0.005907525
CST7	0.040250762
CIAO1	0.07678702
SELL	0.089576336
OR8J3	0.040369287
LTBP4	-0.007231261
SIRT6	-0.003696984
CCL19	-0.328027879
PPIL1	0.010825046
GBP7	0.165535099
STK17A	-0.010744424
ABR	-0.05136426
OR9G1	0.010235832
FOXE1	0.030788064
CNGA3	0.199021938
GML	-0.007027422
CD38	0.264246649
ZDHHC6	0.002363181
NEFH	0.423878885
CTDSP2	-0.011760066
PGBD5	0.411501534
CCNY	0.038490086
RMND5B	-0.052029647
ZNF257	-0.158808656
FLJ22167	0.015538991
EXOSC7	-0.015301346
ROR2	-0.047220486
MAOA	0.039929616
TNNT3	0.300119985
GYPC	0.111954905
C7orf33	
PLIN	-0.130819254
LOC90826	-0.00118053
RNF4	-0.007494516
F8A1	0.000497559
PLEKHG4	-0.019732176
GRB2	0.040481901
HIST1H2AD	-0.032271024
DUS3L	0.005565938
EIF1	0.013748951
RP5-1077B9.4	0.035604516
FPGT	-0.00168053
GDF10	0.220260733
COQ9	0.067127971
GCC2	0.010481068
RARRES3	-0.209109918
KIAA0100	0.012519784
PMF1	0.008551188
FNDC1	-0.183449726
HS2ST1	-0.012415669
CRELD2	0.025686929
C8G	0.094619744
CD82	-0.067466179
LIM2	0.014659963
UNQ6490	-0.015275137
MMP16	0.045959781
DRD3	-0.031184186
C5orf26	0.001095521
C11orf73	0.014475777
PTP4A2	0.018149452
OR4M2	0.009715722
HPCA	0.055836026
SEC14L1	0.060278797
CHFR	0.018714808
EMILIN1	-0.039605804
NDUFS4	-0.049370658
COL18A1	-0.046525823
PDZD3	-0.008546909
C9orf16	0.022172324
ERBB2IP	-0.034401576
EMX2	-0.169356947
FUS	-0.003835923
TF	0.211957402
CLCN4	0.221865126
CXorf56	-0.009514168
C11orf72	-0.010737049
ELAC2	0.013335603
NPR1	0.175755027
ASS1	-0.041453993
USP42	0.006586609
POLR2J	0.000135283
SEC23IP	-0.010546923
UQCRC1	0.002553931
LOC729603	-0.012726539
C1orf71	0.00277468
POLG	0.029293419
ADAM23	-0.001347349
TFR2	0.071124466
RICTOR	-0.004123316
MGC39606	0.11814808
C19orf55	0.020145305
CCDC52	0.014437548
FSIP1	-0.677067642
UPF3A	-0.010808272
IGSF11	0.059017276
LAGE3	0.026841408
CHST6	0.152045704
UNC13B	0.078416133
TTLL4	0.226178702
ZNF687	0.010980249
SDC2	0.01576819
COX7A2	0.005345521
LAMB4	-0.025458711
FAM24A	-0.015314442
