Hugo_Symbol	mut_count	missense_mut_count
1-Dec	1	0
1-Sep	1	1
10-Mar	1	1
10-Sep	1	1
12-Sep	1	1
13-Sep	4	4
14-Sep	2	2
2-Mar	1	1
4-Mar	1	0
4-Sep	1	1
5-Mar	2	2
7-Mar	2	2
A1CF	2	2
A2BP1	3	3
A2M	3	2
A2ML1	4	4
A4GALT	1	0
AAAS	2	2
AACS	1	1
AADAC	3	2
AADACL2	2	1
AADACL4	1	1
AAK1	2	1
AARS	4	4
AARS2	3	3
AASDH	1	0
AASDHPPT	2	2
AASS	3	2
AATK	1	1
ABAT	3	3
ABCA1	6	3
ABCA10	3	3
ABCA12	5	5
ABCA13	14	12
ABCA17P	1	0
ABCA3	4	4
ABCA4	6	6
ABCA5	4	4
ABCA6	3	3
ABCA7	5	5
ABCA8	5	4
ABCA9	4	4
ABCB1	3	3
ABCB10	2	2
ABCB11	7	4
ABCB4	1	1
ABCB5	2	2
ABCB6	1	0
ABCB7	2	2
ABCB8	2	2
ABCB9	1	1
ABCC1	3	3
ABCC10	3	3
ABCC11	2	1
ABCC12	5	5
ABCC2	4	4
ABCC3	1	1
ABCC4	4	4
ABCC5	2	2
ABCC6	2	2
ABCC8	7	7
ABCC9	5	3
ABCD1	2	1
ABCD2	2	1
ABCD3	2	2
ABCF1	2	2
ABCF2	3	2
ABCF3	1	1
ABCG1	2	2
ABCG5	2	2
ABHD12	1	1
ABHD15	1	1
ABHD2	2	2
ABHD4	1	1
ABHD6	2	1
ABHD8	1	1
ABI1	2	2
ABI3	1	1
ABI3BP	2	0
ABL1	4	2
ABL2	2	2
ABLIM1	1	1
ABLIM3	2	2
ABO	4	4
ABP1	1	1
ABR	3	3
ABRA	1	1
ABT1	1	1
ABTB2	1	1
ACAA1	2	0
ACAA2	1	1
ACACA	3	2
ACACB	8	8
ACAD10	4	4
ACAD11	3	3
ACAD9	1	1
ACADSB	3	3
ACADVL	2	2
ACAN	2	2
ACAP2	1	0
ACAP3	1	1
ACAT1	1	1
ACBD5	2	1
ACCN2	1	1
ACCN3	2	2
ACCN4	1	1
ACCN5	1	1
ACCS	1	1
ACE	4	2
ACE2	1	0
ACER2	1	1
ACER3	3	3
ACHE	2	2
ACLY	4	3
ACO1	1	1
ACO2	3	3
ACOT1	1	1
ACOT11	2	2
ACOT4	1	1
ACOT8	1	1
ACOX1	2	2
ACOX3	2	2
ACOXL	3	2
ACP5	2	2
ACP6	1	1
ACPP	2	2
ACPT	2	2
ACRBP	2	0
ACRC	1	1
ACSBG1	1	0
ACSBG2	2	2
ACSF2	1	0
ACSF3	1	1
ACSL3	1	1
ACSL4	2	2
ACSL5	1	0
ACSL6	2	2
ACSM1	1	1
ACSM2B	2	1
ACSM3	1	1
ACSM4	1	1
ACSM5	3	2
ACSS1	1	1
ACSS3	4	2
ACTA1	1	1
ACTA2	1	1
ACTB	2	2
ACTBL2	1	1
ACTG1	1	0
ACTG2	2	2
ACTL6B	1	0
ACTL7B	1	0
ACTL9	1	1
ACTN2	8	6
ACTN3	1	1
ACTN4	4	2
ACTR1A	2	2
ACTR3B	2	2
ACTR6	1	0
ACTRT1	2	2
ACTRT2	1	1
ACVR1	1	1
ACVR1B	5	4
ACVR1C	1	1
ACVR2A	3	3
ACY1	2	1
ACYP1	1	1
ADA	2	2
ADAD1	1	1
ADAM10	1	1
ADAM11	1	1
ADAM12	1	1
ADAM15	1	0
ADAM18	1	1
ADAM19	2	1
ADAM2	1	1
ADAM21	2	2
ADAM22	1	1
ADAM29	5	4
ADAM30	2	2
ADAM32	1	1
ADAM33	1	0
ADAMDEC1	2	2
ADAMTS1	5	4
ADAMTS10	3	3
ADAMTS12	3	3
ADAMTS13	2	2
ADAMTS14	3	3
ADAMTS15	1	0
ADAMTS16	1	1
ADAMTS17	6	5
ADAMTS18	5	3
ADAMTS19	4	4
ADAMTS2	1	1
ADAMTS20	4	4
ADAMTS3	1	1
ADAMTS4	1	1
ADAMTS5	5	4
ADAMTS6	4	4
ADAMTS7	1	1
ADAMTS9	4	3
ADAMTSL1	4	3
ADAMTSL2	1	1
ADAMTSL3	5	4
ADAP1	1	1
ADAR	1	1
ADARB1	1	1
ADC	1	1
ADCK1	1	0
ADCK4	1	1
ADCK5	1	1
ADCY1	3	3
ADCY10	1	0
ADCY3	2	2
ADCY4	2	1
ADCY5	5	5
ADCY6	1	1
ADCY7	4	4
ADCY8	4	4
ADCY9	5	4
ADCYAP1R1	3	0
ADD1	2	2
ADD2	2	1
ADD3	2	2
ADH1A	1	1
ADH6	1	1
ADH7	2	2
ADHFE1	1	1
ADK	1	0
ADM2	1	0
ADNP	4	4
ADNP2	1	1
ADORA1	1	1
ADORA3	2	2
ADPGK	2	1
ADPRH	3	2
ADPRHL2	1	1
ADRA1A	2	2
ADRA1B	1	0
ADRA2B	1	1
ADRBK1	1	1
ADRBK2	1	1
ADRM1	1	1
ADSL	2	2
AEBP1	6	6
AFAP1L1	1	1
AFF1	3	2
AFF2	14	10
AFF3	4	4
AFF4	4	4
AFG3L2	2	2
AFM	1	1
AFP	1	1
AFTPH	2	2
AGAP1	1	1
AGAP11	1	1
AGAP2	1	1
AGAP3	3	3
AGAP5	1	1
AGAP6	1	1
AGAP7	3	1
AGBL1	2	1
AGBL2	2	2
AGBL3	3	3
AGBL5	1	0
AGFG2	3	2
AGGF1	4	4
AGK	2	2
AGL	3	2
AGMAT	1	1
AGPAT1	1	0
AGPAT3	2	2
AGPAT5	2	0
AGPAT6	1	1
AGPHD1	1	1
AGPS	1	1
AGT	3	3
AGTPBP1	3	2
AGXT	1	1
AGXT2	1	1
AGXT2L2	1	1
AHCTF1	7	4
AHCY	1	1
AHCYL2	1	1
AHDC1	2	1
AHI1	1	1
