# Feature1 Sys. Name	Feature1 Std. Name	Feature2 Sys. Name	Feature2 Std. Name	PE Score	Conf. Score	Direct Score	Indirect Score
YBR025C	YBR025C	YGL245W	GUS1	1.000012	0.05623	-0.309804	1.542985
YBR140C	IRA1	YMR194W	RPL36A	1.000028	0.056232	0	2.000056
YFL039C	ACT1	YOR304W	ISW2	1.00006	0.056237	-0.619608	0.627309
YAR073W	IMD1	YGR027C	RPS25A	1.000064	0.056238	-0.619608	2.619736
YLR022C	YLR022C	YPR080W	TEF1	1.00013	0.056247	-1.54902	0
YDR450W	RPS18A	YLL034C	RIX7	1.000178	0.056254	-1.239216	0
YDR502C	SAM2	YPL198W	RPL7B	1.000194	0.056256	-0.619608	1.683489
YBR105C	VID24	YDR012W	RPL4B	1.000202	0.056257	0	2.109482
YCL037C	SRO9	YGR085C	RPL11B	1.000341	0.056277	-0.309804	2.310485
YGL076C	RPL7A	YNL302C	RPS19B	1.000419	0.056288	-0.309804	2.310642
YJL130C	URA2	YLR055C	SPT8	1.000468	0.056295	-0.309804	0.750058
YGR258C	RAD2	YKL152C	GPM1	1.000475	0.056297	0.996459	1.004491
YAL060W	BDH1	YGL167C	PMR1	1.000477	0.056297	2.000954	0
YBL037W	APL3	YJL084C	YJL084C	1.000477	0.056297	2.000954	0
YDR052C	DBF4	YHR024C	MAS2	1.000477	0.056297	2.000954	0
YEL011W	GLC3	YJL162C	JJJ2	1.000477	0.056297	2.000954	0
YER003C	PMI40	YIR001C	SGN1	1.000477	0.056297	2.000954	0
YGL157W	YGL157W	YJL023C	PET130	1.000477	0.056297	2.000954	0
YHR102W	KIC1	YKR076W	ECM4	1.000477	0.056297	2.000954	0
YIL093C	RSM25	YJL063C	MRPL8	1.000477	0.056297	2.000954	0
YBL004W	UTP20	YBR143C	SUP45	1.000479	0.056297	-0.619608	0
YHR066W	SSF1	YPR016C	TIF6	1.000479	0.056297	-0.619608	0
YIL133C	RPL16A	YNL312W	RFA2	1.000501	0.0563	-0.929412	2.930414
YGR156W	PTI1	YPL198W	RPL7B	1.000514	0.056302	-0.929412	0.62499
YHL008C	YHL008C	YNR033W	ABZ1	1.000517	0.056302	-0.619608	2.620641
YKL089W	MIF2	YPL169C	MEX67	1.000517	0.056302	-0.619608	2.620641
YIL078W	THS1	YJL140W	RPB4	1.000544	0.056306	-1.239216	1.068187
YGR054W	YGR054W	YHR089C	GAR1	1.000619	0.056317	-0.929412	3.771082
YDR303C	RSC3	YGR047C	TFC4	1.00062	0.056317	-0.619608	0
YER148W	SPT15	YNL236W	SIN4	1.00062	0.056317	-0.619608	0
YLR117C	CLF1	YLR298C	YHC1	1.00062	0.056317	-0.619608	0
YDL104C	QRI7	YIL112W	HOS4	1.000654	0.056322	2.001309	0
YER161C	SPT2	YPL020C	ULP1	1.000654	0.056322	2.001309	0
YFL016C	MDJ1	YMR194W	RPL36A	1.000775	0.056339	-0.309804	3.151786
