GeneID,GeneName,log2FC,P.Value,adj.P.Value
ENSG00000000003,TSPAN6,1.210920331,0.030285815,0.201038947
ENSG00000000005,TNMD,1.601534394,0.171398244,0.444140353
ENSG00000000419,DPM1,0.467464851,0.294138,0.564898506
ENSG00000000457,SCYL3,0.054446204,0.891635248,1
ENSG00000000460,C1orf112,1.437688699,0.004173094,0.100584579
ENSG00000000938,FGR,-2.995942893,4.94E-06,0.005027991
ENSG00000000971,CFH,-0.254214495,0.609656364,0.920902222
ENSG00000001036,FUCA2,-0.069719123,0.881438634,1
ENSG00000001084,GCLC,1.779399529,0.001231812,0.057757014
ENSG00000001167,NFYA,0.49282854,0.136903503,0.380302879
ENSG00000001460,STPG1,-0.006652761,0.988682167,1
ENSG00000001461,NIPAL3,-0.769729113,0.021633855,0.180705898
ENSG00000001497,LAS1L,-0.050401351,0.890905034,1
ENSG00000001561,ENPP4,-1.030708775,0.005522045,0.112644122
ENSG00000001617,SEMA3F,-0.464961033,0.372696417,0.665898689
ENSG00000001626,CFTR,-3.00270701,0.005160998,0.11013409
ENSG00000001629,ANKIB1,0.594455574,0.080838503,0.292548029
ENSG00000001630,CYP51A1,-1.457544045,0.012225936,0.150419301
ENSG00000001631,KRIT1,0.269402118,0.375839754,0.670142856
ENSG00000002016,RAD52,0.54994491,0.188352208,0.463952491
ENSG00000002079,MYH16,2.65133884,0.003811372,0.097500906
ENSG00000002330,BAD,-0.236439281,0.678109901,0.986385805
ENSG00000002549,LAP3,-0.585468519,0.144480231,0.395179207
ENSG00000002586,CD99,-0.326129267,0.515192666,0.824894719
ENSG00000002587,HS3ST1,0.652635371,0.322788744,0.602215726
ENSG00000002726,AOC1,5.816108901,0.002271389,0.07801274
ENSG00000002745,WNT16,1.066275108,0.333085608,0.616075641
ENSG00000002746,HECW1,3.329508988,0.002126349,0.076099392
ENSG00000002822,MAD1L1,-0.43158666,0.233652341,0.531818504
ENSG00000002834,LASP1,-0.430625991,0.309788139,0.585217729
ENSG00000002919,SNX11,-0.317641425,0.484425835,0.792007563
ENSG00000002933,TMEM176A,1.619925391,0.060418552,0.261021091
ENSG00000003056,M6PR,-0.893917867,0.043933056,0.227915398
ENSG00000003096,KLHL13,0.61355714,0.468487419,0.774510234
ENSG00000003137,CYP26B1,0.282559115,0.667077036,0.975713981
ENSG00000003147,ICA1,0.705220755,0.172992156,0.446567844
ENSG00000003249,DBNDD1,1.36888683,0.025386406,0.189517919
ENSG00000003393,ALS2,-0.097545042,0.779008262,1
ENSG00000003400,CASP10,-0.63617437,0.08489941,0.302285848
ENSG00000003402,CFLAR,-0.900324803,0.03505172,0.210268305
ENSG00000003436,TFPI,-0.832408995,0.230928259,0.527483435
ENSG00000003509,NDUFAF7,0.560791253,0.122514479,0.376450072
ENSG00000003756,RBM5,0.174565603,0.634722383,0.945122083
ENSG00000003987,MTMR7,1.149642474,0.060127201,0.260227084
ENSG00000003989,SLC7A2,0.574336604,0.46835043,0.774349108
ENSG00000004059,ARF5,0.418803884,0.502131058,0.811023387
ENSG00000004139,SARM1,0.224807081,0.698651187,1
ENSG00000004142,POLDIP2,0.170603619,0.709697395,1
ENSG00000004399,PLXND1,-0.963600261,0.034180703,0.208171531
ENSG00000004455,AK2,0.643558272,0.217531293,0.50617263
ENSG00000004468,CD38,-0.2409749,0.699900583,1
ENSG00000004478,FKBP4,0.811360705,0.085735204,0.304296833
ENSG00000004487,KDM1A,0.725045608,0.111176233,0.353546789
ENSG00000004534,RBM6,0.289886104,0.431477564,0.736461376
ENSG00000004660,CAMKK1,-0.195019638,0.664041536,0.972852055
ENSG00000004700,RECQL,0.286547058,0.58543059,0.896397518
ENSG00000004766,VPS50,0.097385846,0.753722932,1
ENSG00000004776,HSPB6,-2.793340533,0.000968351,0.051514423
ENSG00000004777,ARHGAP33,2.041190721,0.010341318,0.141663496
ENSG00000004779,NDUFAB1,0.75179989,0.142237992,0.390795878
ENSG00000004799,PDK4,-3.984411126,8.48E-05,0.016733096
ENSG00000004809,SLC22A16,1.092816808,0.355094518,0.643896919
ENSG00000004838,ZMYND10,0.436119191,0.763252962,1
ENSG00000004846,ABCB5,-0.694300352,0.553165608,0.864256961
ENSG00000004848,ARX,-0.542001019,0.67273464,0.981143673
ENSG00000004864,SLC25A13,0.606341899,0.125584011,0.37906611
ENSG00000004866,ST7,-1.484028749,0.000251542,0.026214064
ENSG00000004897,CDC27,0.060669777,0.84056019,1
ENSG00000004939,SLC4A1,-4.47737494,0.00031788,0.029998225
ENSG00000004948,CALCR,-1.271875446,0.175245419,0.450404483
ENSG00000004961,HCCS,-0.355543867,0.337105041,0.621250435
ENSG00000004975,DVL2,0.002623687,0.994571014,1
ENSG00000005001,PRSS22,1.070844618,0.202230602,0.480893002
ENSG00000005007,UPF1,-0.356669917,0.465176491,0.770597072
ENSG00000005020,SKAP2,-0.278161977,0.477503837,0.784252012
ENSG00000005022,SLC25A5,0.007711406,0.98843539,1
ENSG00000005059,MCUB,0.830176687,0.163335422,0.429442281
ENSG00000005073,HOXA11,5.987265435,0.00307188,0.088596574
ENSG00000005075,POLR2J,0.684530956,0.263402393,0.560967329
ENSG00000005100,DHX33,0.490247825,0.221087668,0.511946608
ENSG00000005102,MEOX1,0.411181328,0.647644586,0.956475253
