GENE,COMMON,gal1RGexp,gal4RGexp,gal80Rexp,gal1RGsig,gal4RGsig,gal80Rsig
YHR051W,COX6,-0.034,0.111,-0.304,3.75720e-01,1.56240e-02,7.91340e-06
YHR124W,NDT80,-0.090,0.007,-0.348,2.71460e-01,9.64330e-01,3.44760e-01
YKL181W,PRS1,-0.167,-0.233,0.112,6.27120e-03,7.89400e-04,1.44060e-01
YGR072W,UPF3,0.245,-0.471,0.787,4.10450e-04,7.51780e-04,1.37130e-05
YHL020C,OPI1,0.174,-0.015,0.151,1.40160e-04,7.19120e-01,1.53950e-02
YGR145W,YGR145W,0.387,-0.577,-0.088,5.37920e-03,8.27330e-03,7.64180e-01
YGL041C,YGL041C,0.285,-0.086,0.103,4.46050e-04,4.50790e-01,7.03040e-01
YGR218W,CRM1,-0.018,-0.001,-0.018,6.13810e-01,9.79400e-01,8.09690e-01
YOR202W,HIS3,-0.432,-0.710,0.239,1.09790e-02,1.79790e-04,5.48950e-03
YCR005C,CIT2,0.085,0.392,0.464,4.18980e-02,1.53050e-06,2.74360e-06
YER187W,KHS1,0.159,0.139,-0.045,8.51260e-04,4.17830e-03,6.18020e-01
YBR026C,YBR026C,0.276,0.189,0.291,3.63320e-05,6.15230e-04,1.24430e-03
YMR244W,YMR244W,0.078,-0.239,-0.072,5.76050e-01,3.55240e-01,8.85690e-01
YMR317W,YMR317W,-0.181,0.086,-0.453,5.94980e-02,3.03060e-01,7.60020e-03
YAR047C,YAR047C,-0.234,-0.109,0.155,2.46640e-02,4.96380e-01,4.83330e-01
YIR031C,DAL7,0.289,-0.161,1.085,3.04210e-05,8.90570e-02,2.51800e-07
YDL177C,YDL177C,-0.002,-0.367,0.633,9.79400e-01,1.42900e-02,6.05450e-03
YLR338W,YLR338W,-0.216,0.096,-0.238,2.15180e-05,5.11510e-02,9.32590e-03
YGR073C,YGR073C,-0.125,-0.126,-0.051,5.55560e-02,1.71320e-01,7.89410e-01
YGR146C,YGR146C,-0.189,-0.067,0.341,3.72480e-03,2.88770e-01,4.61960e-03
YOR130C,ORT1,-0.025,-0.322,0.172,5.92360e-01,6.13670e-05,2.37790e-02
YLR193C,YLR193C,0.124,0.057,-0.052,8.16620e-03,2.30570e-01,6.30040e-01
YMR318C,YMR318C,0.068,-0.716,0.558,1.10340e-01,1.49790e-08,5.55910e-08
YLR266C,YLR266C,-0.058,0.066,-0.136,1.31160e-01,1.39630e-01,6.49860e-02
YGL114W,YGL114W,-0.009,-0.076,0.224,8.59500e-01,2.32420e-01,1.42010e-01
YLR339C,YLR339C,-0.239,-0.072,-0.362,2.57470e-06,2.60270e-01,5.80940e-06
YFL062W,COS4,-0.192,0.213,-0.561,3.44560e-05,1.62290e-04,3.31070e-13
YJR010W,MET3,-0.253,-0.136,-0.017,2.91960e-06,1.71460e-02,8.56570e-01
YHR052W,YHR052W,0.101,-0.324,0.126,1.39850e-02,3.82030e-05,1.95990e-01
YKL182W,FAS1,-0.140,-0.183,-0.415,9.08500e-04,1.19420e-03,2.43900e-08
YHR125W,YHR125W,-0.513,-0.052,-0.036,2.40260e-04,1.01320e-01,7.78200e-01
YHL021C,YHL021C,-0.130,0.544,-0.757,4.44280e-03,1.84500e-06,6.01690e-18
YGR219W,YGR219W,-0.070,-0.188,-0.206,1.66960e-01,2.29010e-02,1.58970e-01
YGL042C,YGL042C,-0.075,-0.408,0.028,2.69230e-01,3.02660e-03,8.95260e-01
YOR203W,YOR203W,-0.492,-0.561,0.359,6.48760e-09,1.80630e-05,1.86630e-01
YCR006C,YCR006C,-0.067,0.055,0.410,4.05710e-01,6.63470e-01,8.10030e-02
YER188W,YER188W,-0.322,-0.285,-0.089,4.03760e-02,1.85790e-01,7.21210e-01
YMR172W,HOT1,0.162,-0.332,0.489,3.39870e-02,1.31310e-03,1.96070e-03
YNL120C,YNL120C,-0.053,-0.800,0.428,5.64090e-01,5.14230e-04,7.51560e-02
YBR027C,YBR027C,-0.210,-0.110,0.307,8.47300e-03,4.27360e-01,7.58960e-02
YMR245W,YMR245W,0.095,-0.187,0.213,5.49810e-02,3.40940e-02,8.66970e-02
YJR011C,YJR011C,-0.112,-0.545,0.142,1.85960e-01,2.52110e-02,6.59060e-01
YIR032C,DAL3,0.181,-0.148,-0.004,8.14360e-02,5.29160e-01,9.99999e-01
YHR053C,CUP1A,-0.656,-0.750,0.795,1.67310e-04,8.46380e-04,1.51870e-10
YHR126C,YHR126C,-0.238,0.193,-0.071,2.36540e-04,9.74530e-04,5.56390e-01
YPR110C,RPC40,-0.120,-0.339,-0.026,1.96070e-03,1.27430e-05,7.05640e-01
YGR147C,NAT2,0.158,-0.074,0.295,7.17510e-04,1.83220e-01,7.18280e-03
YOR131C,YOR131C,-0.037,-0.135,-0.113,3.43680e-01,1.20150e-02,1.28600e-01
YAL016W,TPD3,0.053,0.198,-0.055,2.11860e-01,6.89500e-04,4.22030e-01
YLR194C,YLR194C,0.046,-0.383,0.251,2.86640e-01,1.46600e-04,2.82510e-02
YMR319C,FET4,-0.182,-0.327,-0.360,7.00470e-04,1.09890e-04,3.48440e-07
YGL115W,SNF4,-0.111,0.112,-0.221,5.85410e-03,1.12340e-02,2.75350e-03
YFL063W,YFL063W,0.128,-0.152,-0.001,6.69880e-02,2.89770e-01,9.99999e-01
YDL178W,AIP2,-0.131,-0.091,-0.693,1.80100e-03,7.77810e-02,2.14570e-12
YKL183W,YKL183W,-0.116,-0.151,-0.045,7.62850e-03,2.51430e-02,6.30540e-01
YGR074W,SMD1,-0.074,-0.133,0.029,1.19390e-01,8.22100e-02,8.07550e-01
YHL022C,SPO11,-0.402,-0.499,0.176,4.71620e-04,1.19080e-01,4.21550e-01
YDR493W,YDR493W,0.062,-0.077,-0.204,3.18440e-01,2.37620e-01,1.61090e-01
YOR204W,DED1,-0.033,-0.056,-0.910,3.99440e-01,3.12680e-01,8.34900e-16
YCR007C,YCR007C,-0.019,0.003,0.387,7.66740e-01,9.79400e-01,5.61670e-03
YFL064C,YFL064C,0.032,-0.011,-0.261,4.65490e-01,8.20760e-01,5.18620e-03
YER189W,YER189W,0.211,0.082,-0.026,3.03140e-05,8.04400e-02,7.10280e-01
YNL121C,TOM70,0.162,0.024,-0.514,1.21720e-03,6.32020e-01,3.14050e-07
YBR028C,YBR028C,0.004,-0.323,0.219,9.31760e-01,1.38290e-04,1.30940e-01
YMR173W,DDR48,-0.873,0.096,-0.692,1.48840e-11,3.03670e-01,3.52770e-15
YMR246W,FAA4,-0.001,-0.499,0.600,9.79400e-01,2.25910e-05,1.27350e-07
YJR012C,YJR012C,0.124,0.085,0.015,8.92050e-02,3.41710e-01,8.95260e-01
YLR267W,BOP2,0.199,0.403,0.640,4.53770e-04,2.42730e-05,1.19290e-05
YHR054C,YHR054C,-0.071,0.055,-0.015,9.88090e-02,1.89090e-01,8.46790e-01
YGR075C,PRP38,-0.075,-0.227,0.081,1.84370e-01,9.43450e-03,6.19910e-01
YGR148C,RPL24B,-0.202,-0.423,-0.126,9.95090e-05,1.33550e-06,3.88370e-02
YOR205C,YOR205C,0.069,0.030,0.389,2.15510e-01,7.80940e-01,2.63030e-02
YAL017W,YAL017W,-0.122,-0.019,-0.251,2.55330e-03,7.02390e-01,2.65410e-04
YIL001W,YIL001W,-0.044,-0.096,-0.032,3.27520e-01,1.65560e-01,7.71950e-01
YMR174C,PAI3,-0.070,-0.088,-0.190,6.66630e-02,1.25930e-01,3.17050e-03
YLR195C,NMT1,-0.003,-0.316,-0.012,9.41780e-01,5.11950e-05,9.12770e-01
YGL043W,DST1,0.156,-0.466,0.568,4.35230e-03,2.93520e-05,1.07510e-04
YGL116W,CDC20,0.006,-0.066,0.294,9.20340e-01,5.34760e-01,3.89590e-02
YOL100W,PKH2,-0.119,-0.049,0.160,6.34510e-01,8.28970e-01,4.70840e-01
YLR287C-A,RPS30A,-0.289,-0.288,-0.095,6.11880e-06,3.13860e-05,9.16400e-02
YDL179W,PCL9,0.189,0.012,-0.028,6.98210e-04,8.33850e-01,7.75500e-01
YIR033W,MGA2,0.079,-0.142,0.051,1.26790e-01,8.03350e-03,5.16940e-01
YAL018C,YAL018C,-0.227,-0.000,-0.000,5.64090e-01,4.65210e-01,7.47870e-01
YIL002C,INP51,-0.013,-0.194,-0.021,7.93290e-01,3.12900e-03,8.41480e-01
YHR127W,HSN1,0.159,-0.413,0.532,8.85090e-03,3.96450e-03,2.18090e-03
YKL184W,SPE1,-0.030,-0.071,-0.055,5.02650e-01,1.65710e-01,4.99810e-01
YHL023C,YHL023C,0.127,-0.183,0.132,1.31160e-02,3.08130e-02,2.09430e-01
YPR111W,DBF20,0.148,0.137,0.077,7.18020e-03,4.64460e-02,5.45930e-01
YDR494W,YDR494W,0.193,0.010,0.199,5.37600e-05,8.46790e-01,1.09830e-02
YGL044C,RNA15,0.162,-0.211,0.281,1.36390e-03,4.09020e-03,5.74480e-03
YOR132W,VPS17,0.079,0.085,0.150,5.93070e-02,8.09700e-02,5.66330e-02
YFL065C,YFL065C,0.003,-0.061,-0.118,9.58820e-01,3.53180e-01,3.32280e-01
