Gene Symbol	Gene ID	logFC	FDR corrected Pvalue
IGDCC3	9543	6.086662603	7.11E-33
ANTXR1	84168	1.647298453	2.52E-32
AEBP1	165	2.119807885	3.26E-30
ANGPTL2	23452	1.54852704	1.18E-29
FBN1	2200	2.11041009	1.21E-29
COL16A1	1307	1.870069522	2.53E-29
BGN	633	1.863730569	2.53E-29
COL5A1	1289	2.382577694	1.26E-28
SPARC	6678	1.719674946	3.24E-28
C1QTNF6	114904	1.630516231	3.62E-28
CRISPLD2	83716	2.219672648	3.75E-28
COL1A2	1278	1.974758942	5.07E-27
LAMB1	3912	1.585881231	1.06E-26
ZNF469	84627	1.994607026	1.60E-26
TIMP3	7078	2.181019553	2.05E-26
LOXL2	4017	1.569029503	3.63E-26
CALD1	800	1.277715566	3.84E-26
NUAK1	9891	1.660885555	1.43E-25
PTRF	284119	1.44919606	1.55E-25
MSRB3	253827	1.582456102	2.32E-25
COL1A1	1277	2.192571709	2.33E-25
ECM2	1842	1.86678313	2.33E-25
COL6A3	1293	1.890255497	2.91E-25
CILP2	148113	1.974907123	2.91E-25
KIF26B	55083	2.300251331	4.01E-25
COL6A2	1292	1.723938764	6.35E-25
EMILIN1	11117	1.944180571	1.02E-24
COL3A1	1281	2.18873354	1.04E-24
PALLD	23022	1.274307821	1.04E-24
SSC5D	284297	2.029895711	1.73E-24
FZD1	8321	1.399766312	1.73E-24
LOXL1	4016	1.51634735	2.93E-24
PDGFRB	5159	1.573440261	6.14E-24
HIC1	3090	1.664742359	7.42E-24
C1QTNF7	114905	2.168753328	9.34E-24
SH3PXD2B	285590	1.15135683	1.11E-23
THBS1	7057	1.627903234	1.48E-23
MMP2	4313	1.834744027	1.61E-23
CHSY3	337876	1.616023108	4.43E-23
GLT8D2	83468	1.843227693	6.31E-23
DCHS1	8642	1.686141002	6.31E-23
FLNC	2318	2.323973777	6.33E-23
COL8A1	1295	2.237147245	9.37E-23
VCAN	1462	2.108601101	1.76E-22
CACNA1C	775	2.111022339	1.88E-22
GPC6	10082	2.110246929	2.01E-22
DACT1	51339	1.752791309	2.53E-22
CDH11	1009	1.871630167	2.97E-22
LRP1	4035	1.342224522	3.69E-22
C1QTNF3	114899	2.163711865	4.38E-22
LZTS1	11178	1.520633053	5.91E-22
ANTXR2	118429	1.283011869	7.14E-22
KIAA1644	85352	2.852621317	7.52E-22
FSTL1	11167	1.403078219	1.05E-21
MMP14	4323	1.368785177	1.06E-21
COL6A1	1291	1.688249394	1.70E-21
ADAMTS7	11173	1.756049439	2.12E-21
VGF	7425	4.086571198	2.87E-21
CREB3L1	90993	1.665818167	3.12E-21
COL5A2	1290	2.047531191	3.52E-21
