GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0048015	phosphatidylinositol-mediated signaling	5.63e-16	5.63e-16	1	HGF,FGFR2,FGFR3,PIK3CG,GATA3,PIK3CA,FLT3,SOX9,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,NF1,MTOR
GO:0048017	inositol lipid-mediated signaling	6.25e-16	6.25e-16	1	HGF,FGFR2,FGFR3,PIK3CG,GATA3,PIK3CA,FLT3,SOX9,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,NF1,MTOR
GO:0048732	gland development	6.48e-16	6.48e-16	1	HGF,FGFR2,GATA3,FBXW7,SOX9,TBX3,BRCA2,AKT1,ARID5B,ARHGAP35,ELF3,AR,ERBB4,WT1,NF1,CEBPA
GO:0014065	phosphatidylinositol 3-kinase signaling	1.91e-14	1.91e-14	1	HGF,FGFR2,FGFR3,PIK3CG,GATA3,PIK3CA,FLT3,SOX9,PDGFRA,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,NF1
REAC:5654695	PI-3K cascade:FGFR2	5.58e-14	5.58e-14	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11,MTOR
REAC:5654689	PI-3K cascade:FGFR1	5.58e-14	5.58e-14	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11,MTOR
REAC:1250342	PI3K events in ERBB4 signaling	5.58e-14	5.58e-14	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11,MTOR
REAC:1257604	PIP3 activates AKT signaling	5.58e-14	5.58e-14	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11,MTOR
REAC:5654720	PI-3K cascade:FGFR4	5.58e-14	5.58e-14	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11,MTOR
REAC:5654710	PI-3K cascade:FGFR3	5.58e-14	5.58e-14	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11,MTOR
REAC:198203	PI3K/AKT activation	8.28e-14	8.28e-14	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11,MTOR
REAC:180292	GAB1 signalosome	8.28e-14	8.28e-14	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11,MTOR
REAC:1168372	Downstream signaling events of B Cell Receptor (BCR)	4.11e-13	4.11e-13	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,KRAS,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11,MTOR,NRAS
REAC:2219528	PI3K/AKT Signaling in Cancer	3.53e-12	3.53e-12	1	HGF,FGFR2,FGFR3,CDKN1B,PIK3CA,CDKN1A,PDGFRA,AKT1,PIK3R1,EGFR,KIT,ERBB4,PTPN11,MTOR
GO:1902806	regulation of cell cycle G1/S phase transition	5.30e-12	5.30e-12	1	EP300,FBXW7,CCND1,CDKN1B,CDKN1A,RB1,TP53,AKT1,EGFR,TAF1,ATM,PTEN,NPM1,CHEK2
GO:0046777	protein autophosphorylation	7.39e-12	7.39e-12	1	FGFR2,FGFR3,STK11,FLT3,PDGFRA,ACVR1B,AKT1,EGFR,TAF1,ATM,KIT,CDK12,ATR,ERBB4,CHEK2,LRRK2,MTOR
REAC:1236394	Signaling by ERBB4	4.12e-11	4.12e-11	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,KRAS,PDGFRA,NCOR1,TP53,AKT1,PIK3R1,EGFR,KIT,BRAF,PTEN,ERBB4,PTPN11,NF1,MTOR,NRAS
REAC:1433557	Signaling by SCF-KIT	4.82e-11	4.82e-11	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,KRAS,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,BRAF,PTEN,ERBB4,PTPN11,NF1,MTOR,NRAS
GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	5.02e-11	5.02e-11	1	HGF,FGFR2,FGFR3,PIK3CA,FLT3,SOX9,PDGFRA,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11
REAC:5654696	Downstream signaling of activated FGFR2	5.73e-11	5.73e-11	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,KRAS,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,BRAF,PTEN,ERBB4,PTPN11,NF1,MTOR,NRAS
REAC:5654716	Downstream signaling of activated FGFR4	5.73e-11	5.73e-11	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,KRAS,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,BRAF,PTEN,ERBB4,PTPN11,NF1,MTOR,NRAS
REAC:5654708	Downstream signaling of activated FGFR3	5.73e-11	5.73e-11	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,KRAS,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,BRAF,PTEN,ERBB4,PTPN11,NF1,MTOR,NRAS
REAC:5654743	Signaling by FGFR4	6.80e-11	6.80e-11	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,KRAS,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,BRAF,PTEN,ERBB4,PTPN11,NF1,MTOR,NRAS
REAC:5654687	Downstream signaling of activated FGFR1	6.80e-11	6.80e-11	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,KRAS,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,BRAF,PTEN,ERBB4,PTPN11,NF1,MTOR,NRAS
REAC:5654741	Signaling by FGFR3	7.19e-11	7.19e-11	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,KRAS,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,BRAF,PTEN,ERBB4,PTPN11,NF1,MTOR,NRAS
REAC:5654736	Signaling by FGFR1	9.00e-11	9.00e-11	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,KRAS,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,BRAF,PTEN,ERBB4,PTPN11,NF1,MTOR,NRAS
GO:0051052	regulation of DNA metabolic process	1.23e-10	1.23e-10	1	BRCA1,HGF,POLQ,SMC1A,ATRX,STAG2,PPP2R1A,SMC3,FBXW7,PDGFRA,TP53,AKT1,EGFR,CDKN2A,ATM,AXIN2,ATR,NPM1,CHEK2
REAC:199418	Negative regulation of the PI3K/AKT network	1.82e-10	1.82e-10	1	HGF,FGFR2,FGFR3,PPP2R1A,PIK3CA,PDGFRA,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11
REAC:2730905	Role of LAT2/NTAL/LAB on calcium mobilization	1.95e-10	1.95e-10	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11,MTOR
GO:0044843	cell cycle G1/S phase transition	2.57e-10	2.57e-10	1	EP300,FBXW7,CCND1,CDKN1B,CDKN2C,CDKN1A,ACVR1B,RB1,TP53,AKT1,EGFR,TAF1,CDKN2A,ATM,PTEN,NPM1,CHEK2
GO:0048762	mesenchymal cell differentiation	3.05e-10	3.05e-10	1	HGF,EPHA3,FGFR2,EZH2,SOX9,FOXA2,FOXA1,SMAD4,NOTCH1,TGFBR2,CTNNB1,AXIN2,SMAD2,ERBB4
GO:0060485	mesenchyme development	3.36e-10	3.36e-10	1	HGF,EPHA3,FGFR2,EZH2,SOX9,FOXA2,FOXA1,SMAD4,NOTCH1,TGFBR2,CTNNB1,AXIN2,SMAD2,ERBB4,WT1
GO:0040008	regulation of growth	3.40e-10	3.40e-10	1	FGFR2,FGFR3,PPP2R1A,CDKN1B,STK11,CDKN1A,ACVR1B,TP53,SMAD4,AKT1,EGFR,CDKN2A,NOTCH1,BAP1,SOX17,PTEN,ERBB4,WT1,H3F3C
REAC:983705	Signaling by the B Cell Receptor (BCR)	3.87e-10	3.87e-10	1	HGF,FGFR2,FGFR3,PPP2R1A,CDKN1B,PIK3CA,CDKN1A,KRAS,PDGFRA,TP53,AKT1,PIK3R1,EGFR,KIT,PTEN,ERBB4,PTPN11,MTOR,NRAS
GO:0010948	negative regulation of cell cycle process	5.41e-10	5.41e-10	1	BRCA1,SMC1A,ATRX,EP300,STAG2,SMC3,FBXW7,CCND1,CDKN1B,CDKN1A,APC,RB1,TP53,ATM,PTEN,NPM1,CHEK2
GO:0045787	positive regulation of cell cycle	6.56e-10	6.56e-10	1	BRCA1,FGFR2,ATRX,EP300,CCND1,CDKN1B,CDKN1A,FOXA1,TBX3,RB1,TP53,AKT1,EGFR,ATM,NPM1,CHEK2
GO:2000045	regulation of G1/S transition of mitotic cell cycle	7.89e-10	7.89e-10	1	EP300,CCND1,CDKN1B,CDKN1A,RB1,TP53,AKT1,EGFR,ATM,PTEN,NPM1,CHEK2
GO:0042326	negative regulation of phosphorylation	1.12e-09	1.12e-09	1	MECOM,PPP2R1A,CDKN1B,CDKN2C,CDKN1A,FOXA2,APC,TLR4,RB1,NCOR1,SMAD4,AKT1,CDKN2A,PTEN,CRIPAK,NPM1,LRRK2,NF1,CEBPA
REAC:6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	1.59e-09	1.59e-09	1	HGF,FGFR2,FGFR3,PPP2R1A,PIK3CA,PDGFRA,AKT1,PIK3R1,EGFR,KIT,ERBB4,PTPN11
