#Bait,PreyAccesion,GeneID,HEKScore,JurkatScore,ScoreAverage,Protein Name   (**also co-purified with >1 unrelated membrane proteins),Gene Symbol,Gene Synonyms
GAG,28876542,-,0.973,0.659,0.816,NP_579876 Matrix p17_HIV-1,-,-
GAG,19172948,-,0.957,0.5,0.729,NP_579880 Capsid p24_HIV-1,-,-
GAG,Q9Y2W1,9967,0.807,0.319,0.563,TR150_HUMAN Thyroid hormone receptor-associated protein 3,THRAP3,TRAP150
GAG,19172951,-,0.901,0.133,0.517,NP_579883 p6_HIV-1,-,-
GAG,Q9HD40,51091,0.814,0.2,0.507,SPCS_HUMAN O-phosphoseryl-tRNA(Sec) selenium transferase,SEPSECS,TRNP48
GAG,Q9Y6Y0,10625,0.753,0.26,0.506,NS1BP_HUMAN Influenza virus NS1A-binding protein,IVNS1ABP,FLARA3; NS1; KIAA0850; HSPC068; ARA3
GAG,Q9Y6V7,54555,0.824,0,0.412,DDX49_HUMAN Probable ATP-dependent RNA helicase DDX49,DDX49,-
GAG,Q99873,3276,0.758,0.037,0.397,ANM1_HUMAN Protein arginine N-methyltransferase 1,PRMT1,IR1B4; HRMT1L2; HMT2
GAG,Q9NTK5,29789,0.777,0,0.389,OLA1_HUMAN Obg-like ATPase 1,OLA1,PTD004; PRO2455; GTPBP9
GAG,P19525,5610,0.766,0,0.383,"E2AK2_HUMAN Interferon-induced, double-stranded RNA-activated protein kinase",EIF2AK2,PRKR; PKR
GAG,Q96I25,84991,0.765,0,0.382,SPF45_HUMAN Splicing factor 45,RBM17,-
MA,28876542,-,0.986,0.847,0.916,NP_579876 Matrix p17_HIV-1,-,-
MA,P07814,2058,0.929,0.819,0.874,SYEP_HUMAN Bifunctional aminoacyl-tRNA synthetase,EPRS,QARS; QPRS; GLNS; PIG32; PARS
MA,Q9NTK5,29789,0.911,0.819,0.865,OLA1_HUMAN Obg-like ATPase 1,OLA1,PTD004; PRO2455; GTPBP9
MA,Q9HD40,51091,0.862,0.831,0.846,SPCS_HUMAN O-phosphoseryl-tRNA(Sec) selenium transferase,SEPSECS,TRNP48
MA,O43324,9521,0.907,0.764,0.836,MCA3_HUMAN Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1,P18; AIMP3
MA,P14868,1615,0.911,0.753,0.832,"SYDC_HUMAN Aspartyl-tRNA synthetase, cytoplasmic",DARS,PIG40
MA,P54136,5917,0.922,0.737,0.829,"SYRC_HUMAN Arginyl-tRNA synthetase, cytoplasmic",RARS,-
MA,Q12904,9255,0.919,0.74,0.829,MCA1_HUMAN Multisynthetase complex auxiliary component p43 [Contains: Endothelial monocyte-activating polypeptide 2,AIMP1,SCYE1; EMAP2
MA,P49590,23438,0.856,0.774,0.815,"SYHM_HUMAN Probable histidyl-tRNA synthetase, mitochondrial precursor",HARS2,HARSR; HARSL; HO3
MA,P56192,4141,0.908,0.723,0.815,"SYMC_HUMAN Methionyl-tRNA synthetase, cytoplasmic",MARS,-
MA,Q15046,3735,0.883,0.731,0.807,SYK_HUMAN Lysyl-tRNA synthetase,KARS,KIAA0070
MA,Q9P2J5,51520,0.835,0.773,0.804,"SYLC_HUMAN Leucyl-tRNA synthetase, cytoplasmic",LARS,KIAA1352
MA,P47897,5859,0.919,0.685,0.802,SYQ_HUMAN Glutaminyl-tRNA synthetase,QARS,-
MA,P26639,6897,0.869,0.717,0.793,"SYTC_HUMAN Threonyl-tRNA synthetase, cytoplasmic",TARS,-
MA,P41252,3376,0.907,0.668,0.788,"SYIC_HUMAN Isoleucyl-tRNA synthetase, cytoplasmic",IARS,-
MA,Q96I59,79731,0.866,0.631,0.749,"SYNM_HUMAN Probable asparaginyl-tRNA synthetase, mitochondrial precursor",NARS2,-
MA,Q13155,7965,0.915,0.506,0.711,MCA2_HUMAN Multisynthetase complex auxiliary component p38,AIMP2,JTV1; PRO0992
MA,O00560,6386,0.833,0,0.416,SDCB1_HUMAN Syntenin-1,SDCBP,MDA9; SYCL
MA,Q14978,9221,0.809,0,0.404,NOLC1_HUMAN Nucleolar phosphoprotein p130,NOLC1,NS5ATP13; KIAA0035
MA,Q86SQ7,10806,0.781,0,0.391,SDCG8_HUMAN Serologically defined colon cancer antigen 8,SDCCAG8,HSPC085; CCCAP
CA,19172948,-,1,0.834,0.917,NP_579880 Capsid p24_HIV-1,-,-
NC,Q99873,3276,0.776,0.164,0.47,ANM1_HUMAN Protein arginine N-methyltransferase 1,PRMT1,IR1B4; HRMT1L2; HMT2
NC,P13489,6050,0.87,0,0.435,RINI_HUMAN Ribonuclease inhibitor,RNH1,RNH; PRI
NC,Q9NXG2,55623,0.822,0,0.411,THUM1_HUMAN THUMP domain-containing protein 1,THUMPD1,-
NC,Q8N1G4,57470,0.814,0,0.407,LRC47_HUMAN Leucine-rich repeat-containing protein 47,LRRC47,LRRC47
NC,O75534,7812,0.812,0,0.406,CSDE1_HUMAN Cold shock domain-containing protein E1,CSDE1,NRU; UNR; KIAA0885; D1S155E
