Search Name:	timsTOF_JX_Mouse_10ng_90min_msconvert/results1
			timsTOF_JX_Mouse_10ng_90min_msconvert/results1					
Rank	Uniq Pep	Acc #	UniProt ID	Num Unique	% Cov	Best Expect Val	Protein MW	Species	Protein Name
[1]		Q8VDD5	MYH9_MOUSE	73	29.1	1.3e-9	226374.0	MOUSE	Myosin-9
[1-1]	64	Q5SX39	MYH4_MOUSE	65	29.6	1.9e-9	222860.7	MOUSE	Myosin-4
[1-2]	46	Q5SX40	MYH1_MOUSE	47	22.7	2.1e-8	223344.2	MOUSE	Myosin-1
[1-3]	31	P13542	MYH8_MOUSE	32	16.4	4.4e-8	222709.4	MOUSE	Myosin-8
[1-4]	20	P13541	MYH3_MOUSE	21	9.6	4.4e-8	223792.5	MOUSE	Myosin-3
[1-5]	16	Q91Z83	MYH7_MOUSE	17	9.2	1.1e-7	222880.7	MOUSE	Myosin-7
[1-6]	12	Q02566	MYH6_MOUSE	13	7.1	1.1e-7	223567.2	MOUSE	Myosin-6
[1-7]	2	A2AQP0	MYH7B_MOUSE	3	1.6	9.2e-5	221498.8	MOUSE	Myosin-7B
[2]		Q8BTM8	FLNA_MOUSE	65	26.3	1.9e-11	281223.9	MOUSE	Filamin-A
[2-1]	4	Q80X90	FLNB_MOUSE	7	2.7	1.8e-6	277827.0	MOUSE	Filamin-B
[2-2]	1	Q8VHX6	FLNC_MOUSE	4	1.1	5.1e-5	291121.7	MOUSE	Filamin-C
[2-3]	1	Q8VHX6-2	FLNC_MOUSE	4	1.2	5.1e-5	287367.3	MOUSE	Isoform 2 of Filamin-C
[3]		E9PVX6	KI67_MOUSE	67	25.2	4.0e-14	350867.3	MOUSE	Proliferation marker protein Ki-67
[4]		P08071	TRFL_MOUSE	46	44.8	9.0e-13	77838.5	MOUSE	Lactotransferrin
[5]		P26039	TLN1_MOUSE	50	22.4	2.7e-9	269823.6	MOUSE	Talin-1
[6]		P60710	ACTB_MOUSE	33	67.2	2.5e-13	41737.1	MOUSE	Actin, cytoplasmic 1
[6-1]	2	P63260	ACTG_MOUSE	31	67.2	2.1e-11	41793.2	MOUSE	Actin, cytoplasmic 2
[6-2]	8	P68033	ACTC_MOUSE	24	45.1	2.1e-11	42019.4	MOUSE	Actin, alpha cardiac muscle 1
[6-3]	8	P68134	ACTS_MOUSE	24	45.1	2.1e-11	42051.4	MOUSE	Actin, alpha skeletal muscle
[6-4]	8	P62737	ACTA_MOUSE	22	42.2	2.1e-11	42009.4	MOUSE	Actin, aortic smooth muscle
